# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574491196157,1.3282443,0.28244275,-1.1450381,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196166,1.3587786,-0.030534351,-0.8396947,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196258,1.6641221,-0.39694658,-0.14503817,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196263,1.6946565,-0.5954198,0.35877863,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196365,1.1145039,-0.648855,0.9160305,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196474,0.46564886,-0.7099237,1.0992366,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196478,0.52671754,-0.740458,1.0152671,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196678,0.6259542,-0.3816794,0.8778626,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196685,0.8549618,-0.18320611,0.84732825,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196932,1.2137405,0.0,1.1374046,true,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196933,1.3816794,-0.045801528,1.2748091,true,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196992,1.5267175,0.0,1.2748091,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196996,1.6717557,0.4427481,0.9160305,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197104,1.4427481,0.96183205,0.9160305,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197108,4.0229006,3.29771,0.08396947,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197203,4.1297708,3.6335878,-0.10687023,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
