# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574491772531,-1.7441759,2.8203697,9.335591,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772539,-1.9829975,3.0244753,9.452309,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772632,-2.4540567,3.4207156,9.738416,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772636,-2.7910407,3.6445735,9.894637,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772842,-2.8700492,3.6936548,9.848549,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772846,-3.052607,3.7044287,9.651027,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772950,-3.244742,3.7355533,9.533113,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491772954,-3.6499605,3.7020345,9.5570545,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773052,-3.779846,3.750517,9.530719,true,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773054,-3.8911762,3.7989995,9.506777,true,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773162,-3.891775,3.8953662,9.28232,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773166,-3.8468835,3.9252937,8.808268,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773472,-3.8839936,3.9031472,8.537724,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773475,-4.086902,3.7612908,8.209119,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773580,-5.7945666,3.4991257,5.755661,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773584,-6.0902505,3.515885,5.7005944,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773682,-6.3003416,3.86903,5.6084175,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773687,-6.39611,3.9677908,5.5671177,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773690,-6.8486137,3.4811692,4.797382,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773690,-7.2382703,3.537433,4.547188,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773691,-7.7189064,3.4991257,3.632004,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773691,-7.8068933,3.5565867,3.6176388,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773692,-8.535928,4.344279,1.3754689,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773795,-9.115324,4.063559,0.9840169,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773799,-9.931149,3.66672,0.41180268,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773892,-9.655217,3.8588545,0.23762453,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773896,-9.357139,3.3423057,0.08559271,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491773999,-9.227852,3.1609447,0.11611878,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774002,-9.0429,2.947861,0.4441244,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774101,-8.817844,2.8652608,0.78529817,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774105,-8.716091,2.706645,1.6879122,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774210,-8.909423,2.7150247,2.795829,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774213,-9.260772,3.0065188,3.3423057,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774215,-9.479841,3.240552,3.9486372,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774217,-9.442732,3.4051533,4.1683054,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774219,-8.998607,3.3183637,4.5525746,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774221,-8.553286,3.0992942,4.736928,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774223,-6.0920463,1.3587095,6.1237693,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774225,-5.8400564,1.4999673,6.9102645,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774226,-6.612785,3.4685998,8.147469,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774228,-6.9144545,3.318962,7.937377,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774311,-6.997653,2.9921536,4.9536033,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774315,-7.1407065,2.9269116,4.320337,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774418,-7.4603324,2.8886044,3.3572693,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774422,-7.727885,2.842516,2.8048072,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774424,-8.270171,2.8640637,2.272696,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774426,-8.598177,3.1136594,2.231396,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774428,-8.955511,3.6236243,2.6569653,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774429,-8.980651,4.006098,3.1280246,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774431,-8.677185,4.4023385,4.050989,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774432,-8.371924,4.6818614,4.6136265,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774434,-8.023568,4.920683,4.703409,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774522,-7.939771,5.16549,4.621408,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774526,-7.9188223,5.0643353,4.550779,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774527,-7.6015906,4.9883194,4.2161894,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774528,-7.410054,4.985925,4.047398,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774529,-7.2448545,5.058948,4.008492,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774626,-7.165846,5.1062336,4.1718965,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774628,-6.987478,5.1648917,4.59986,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774630,-6.794146,5.2241483,4.8877625,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774631,-6.4206505,5.242703,5.2325277,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774633,-6.202778,5.2768207,5.415684,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774731,-6.139332,5.445612,5.336077,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774734,-6.215946,5.5988407,5.209783,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774737,-6.326678,5.5725045,5.2379146,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774740,-6.4338183,5.601235,5.294777,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774837,-6.384139,5.580884,5.3247046,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774839,-6.260239,5.6126075,5.407903,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774942,-6.1501055,5.701193,5.418677,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774946,-6.0238113,5.583877,5.5581393,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774948,-5.907094,5.4102974,5.789778,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774950,-5.547964,5.2259436,6.1860185,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774952,-5.203199,5.048773,6.443994,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774954,-4.705205,4.824915,6.903082,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774956,-4.453215,4.785411,7.2191167,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774958,-4.1665096,4.607641,7.7847466,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774959,-4.003105,4.501099,8.04751,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491774961,-3.8247373,4.309563,8.198345,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775049,-3.738546,4.120421,8.213907,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775053,-3.6116533,3.9516299,8.119935,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775056,-3.5930982,3.8642416,8.1642275,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775058,-3.5152867,3.8253357,8.314464,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775061,-3.3638535,3.8792052,8.425795,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775160,-3.0663738,3.810372,8.583213,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775163,-2.9293058,3.8181531,8.788516,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775166,-2.7060466,3.8367083,8.889671,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775168,-2.5139117,3.913921,8.848371,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775170,-2.475006,3.7834373,8.892065,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775262,-2.4462755,3.6164417,8.958505,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775266,-2.468422,3.433884,9.068039,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775362,-2.3570917,3.3291376,9.214086,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775367,-2.2068555,3.3584664,9.311649,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775369,-1.922544,3.4410665,9.334992,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775370,-1.8016368,3.3692403,9.367314,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775370,-1.7788919,3.321955,9.3661175,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775371,-1.7531542,3.1986535,9.380483,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775372,-1.5568297,2.980781,9.352949,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775374,-1.2324153,2.6563668,9.401431,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775468,-1.01574,2.552219,9.409811,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775472,-0.7990648,2.5390508,9.474455,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775474,-0.7338228,2.5767596,9.55885,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775477,-0.7445967,2.6581624,9.712678,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775479,-0.7302315,2.7263973,9.822811,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775481,-0.6135142,2.8281507,9.837176,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775572,-0.50757074,2.883816,9.7863,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775577,-0.47046062,3.0107086,9.733627,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775680,-0.4830302,3.1705215,9.698911,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775684,-0.5907693,3.2680852,9.883863,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775782,-0.6123171,3.41473,10.02153,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775786,-0.4794389,3.6774938,10.157999,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775790,-0.20829555,3.7882257,10.097546,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775793,0.13706805,3.554791,10.084976,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775794,0.3357868,3.2824504,10.019734,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775795,0.52971715,2.9873652,9.830592,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775796,0.5518635,2.8832173,9.715072,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775796,0.5530606,2.7964275,9.665991,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775797,0.55246204,2.7371712,9.743802,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775799,0.55964464,2.5971103,9.797672,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775888,0.49320555,2.2822728,9.821015,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775892,0.24839842,1.9865888,9.895834,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775894,0.03172317,1.970428,9.903017,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775991,-0.23044191,2.3864205,9.595961,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775995,-0.40102878,2.741361,9.359533,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491775998,-0.6841431,3.1232362,9.317635,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776001,-0.7745243,3.1549592,9.555259,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776004,-0.60932434,3.0184898,9.980828,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776006,-0.34835634,2.9352913,10.081385,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776008,0.0011971008,2.8407204,9.891046,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776010,0.061052144,2.7257986,9.669582,false,Start wait time,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776099,-0.060453594,2.7257986,9.375694,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776103,-0.17537527,2.9179332,9.279327,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776203,-0.2837129,3.2345665,9.370307,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776208,-0.29029694,3.4021606,9.481637,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776211,-0.23702596,3.4183214,9.644443,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776211,-0.19692309,3.323152,9.688137,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776212,-0.11851298,3.1789012,9.639654,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776213,-0.095768064,3.0753522,9.61272,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776213,-0.11611878,2.9233203,9.60853,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776214,-0.12210429,2.896984,9.638457,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776311,-0.11372458,2.926313,9.683948,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776316,-0.08798691,2.8993783,9.742605,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776320,-0.027533319,2.9167361,9.714474,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776323,-0.020949265,2.9161377,9.671378,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776325,-0.04189853,2.8993783,9.625289,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776411,-0.07062895,2.837129,9.519346,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776413,-0.11133038,2.8018146,9.4774475,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776414,-0.17836803,2.7060466,9.573814,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776415,-0.18495208,2.5701754,9.661202,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776417,-0.0688333,2.379238,9.724648,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776418,0.046686932,2.2254105,9.731832,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776521,0.25737667,1.9327193,9.725846,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776526,0.35793316,1.7351977,9.739014,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776623,0.4177882,1.5658079,9.762358,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776627,0.4141969,1.584363,9.828796,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776629,0.37828386,1.6418238,9.905411,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776632,0.41958386,1.7226281,9.959281,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776731,0.45250413,1.714847,9.950901,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776735,0.43993455,1.6759412,9.94312,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776738,0.39683893,1.6759412,9.955689,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776741,0.34835634,1.7154455,9.973047,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776743,0.3788824,1.7064673,9.985018,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776746,0.45429978,1.6675615,9.953894,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776748,0.47524905,1.6621746,9.912594,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776750,0.44592008,1.6400281,9.869498,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776752,0.42317516,1.6124948,9.874287,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776832,0.41120413,1.5867572,9.907805,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776836,0.3890578,1.6454151,9.910199,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776839,0.3645172,1.7196354,9.879075,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776842,0.29628247,1.7878702,9.837775,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776844,0.23104046,1.7531542,9.816227,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776941,0.16819267,1.7280151,9.783307,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491776945,0.15263036,1.6968905,9.7958765,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777045,0.15382746,1.7016789,9.836577,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777050,0.18555063,1.75076,9.904813,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777053,0.2220622,1.8082209,9.940127,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777056,0.30645782,1.8992004,9.942521,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777059,0.3573346,1.9512744,9.911396,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777061,0.40462008,2.0380642,9.849147,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777151,0.40342298,2.1039047,9.813833,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777155,0.3657143,2.1577742,9.813234,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777158,0.33399114,2.304419,9.806051,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777160,0.30585927,2.3241713,9.846753,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777161,0.29747957,2.3145945,9.900622,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777164,0.29987377,2.1481974,9.917382,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777166,0.30346507,2.309806,9.905411,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777167,0.30945057,2.3319526,9.867104,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777251,0.30885202,2.3020248,9.829395,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777256,0.28191724,2.1823149,9.799467,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777258,0.25617957,2.1045034,9.752781,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777260,0.23044191,2.0649989,9.671378,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777260,0.2112883,2.0973208,9.625289,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777359,0.16280572,2.1697452,9.615114,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777364,0.1412579,2.2188265,9.639056,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777462,0.10295067,2.2655134,9.773131,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777468,0.092176765,2.2703018,9.910199,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777571,0.108337626,2.2547395,10.068815,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777577,0.14664486,2.256535,10.107122,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777579,0.18914193,2.2469583,10.07121,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777581,0.2124854,2.2290018,9.959281,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777584,0.24899697,2.219425,9.742605,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777586,0.2705448,2.1978772,9.620501,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
1574491777588,0.30107087,2.1571758,9.518747,false,Normal respiration,B90E0B28-49ED-4391-B247-6ABD208A4B3A
