# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574501379280,3.2290077,2.6183207,-0.32824427,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379288,3.480916,2.8854961,-0.33587787,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379701,3.427481,2.8549619,-0.5954198,true,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379703,3.2290077,2.870229,-0.57251906,true,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380027,3.2290077,2.8473282,-0.4427481,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380029,3.351145,3.0076337,-0.40458015,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380120,3.534351,3.1145039,-0.49618322,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380124,3.6717558,3.038168,-0.64122134,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380224,3.70229,3.076336,-0.6870229,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380228,3.832061,3.0992367,-0.6335878,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380332,3.870229,3.0458016,-0.5801527,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380434,3.7480917,2.816794,-0.65648854,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380439,3.6259542,2.664122,-0.4274809,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380540,3.4580152,2.6259542,-0.34351146,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380543,3.442748,2.908397,-0.41984734,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380546,3.3282442,2.740458,-0.2519084,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380548,3.961832,3.4351146,-0.48854962,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380549,4.0076337,3.3740458,-0.5114504,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380551,3.480916,2.8778627,-0.5954198,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380552,3.7480917,3.0610688,-0.57251906,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380554,4.221374,3.335878,-0.6183206,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380556,4.1221375,3.2671757,-0.6183206,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380557,4.0610685,2.908397,-0.35877863,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380644,3.8091602,2.8854961,-0.41984734,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380648,3.610687,2.740458,-0.6946565,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380650,3.4351146,2.6335878,-0.6793893,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380652,3.3435113,2.6030533,-0.27480915,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380653,3.442748,2.7709923,-0.19847329,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380752,3.7175572,2.9007633,-0.32061067,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380754,3.923664,3.0458016,-0.3740458,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380755,3.9923663,3.0,-0.35114503,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380757,3.9312978,2.8625953,-0.32824427,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380758,3.793893,2.687023,-0.36641222,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380853,3.6183207,2.7251909,-0.4427481,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380855,3.6183207,2.8396947,-0.519084,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380857,3.648855,3.0458016,-0.47328246,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380858,3.8473282,3.0610688,-0.35877863,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380860,4.0,2.961832,-0.28244275,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380958,3.961832,3.091603,-0.32824427,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380961,3.9770992,3.167939,-0.35877863,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380962,3.870229,3.183206,-0.47328246,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380964,3.8931298,3.1145039,-0.6335878,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380965,3.778626,2.9160306,-0.4427481,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380967,3.7328243,2.9007633,-0.45801526,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381064,3.7251909,2.8396947,-0.49618322,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381068,3.832061,2.923664,-0.46564886,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381070,3.8244274,2.961832,-0.40458015,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381071,3.8015268,2.9923663,-0.3740458,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381171,3.664122,3.091603,-0.3740458,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381174,3.5801528,3.091603,-0.28244275,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381176,3.7175572,2.946565,-0.129771,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381178,3.8473282,3.0152671,-0.24427481,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381274,3.908397,3.1755726,-0.47328246,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381279,3.946565,3.3206108,-0.65648854,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381381,4.0,3.3435113,-0.5954198,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381384,4.0458016,3.3053436,-0.3740458,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381484,3.946565,3.2671757,-0.36641222,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381489,3.7328243,3.2366412,-0.5496183,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381491,3.648855,3.1603053,-0.610687,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381494,3.6946564,3.2366412,-0.6793893,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381591,3.8091602,3.2366412,-0.5954198,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381595,3.8625953,3.1603053,-0.5114504,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381694,3.832061,3.076336,-0.6183206,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381699,3.7175572,3.0458016,-0.610687,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381806,3.8473282,2.9541984,-0.57251906,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381811,3.8931298,2.9923663,-0.5648855,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381814,3.8625953,2.6946564,-0.22900763,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381816,4.221374,2.7175572,-0.24427481,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381818,4.366412,3.076336,-0.40458015,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381820,4.4198475,3.3664122,-0.53435117,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381904,3.8778627,2.8778627,-0.5801527,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501381909,3.8015268,2.7557251,-0.79389316,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382011,4.0992365,2.9007633,-0.3816794,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382015,3.9541984,3.0839694,-0.54198474,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382115,3.4885497,2.7175572,-0.48091602,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382119,3.648855,2.9160306,-0.5648855,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382121,3.923664,3.0305343,-0.45038167,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382123,4.1221375,3.1526718,-0.49618322,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382124,4.10687,3.091603,-0.40458015,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382126,3.908397,3.076336,-0.3816794,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382128,3.6564887,3.0687022,-0.35877863,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382130,3.3206108,2.923664,-0.6183206,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382132,3.5038168,2.870229,-0.41984734,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382134,3.7633588,3.0229008,-0.67175573,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382222,3.3282442,2.7480917,-0.2977099,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382226,3.29771,2.816794,-0.3816794,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382229,3.534351,2.9007633,-0.46564886,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382232,3.946565,3.2366412,-0.6870229,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382235,4.1603055,3.3587787,-0.73282444,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382324,4.221374,3.2900763,-0.57251906,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382328,4.068702,3.1908398,-0.5496183,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382332,3.6793892,3.0076337,-0.5496183,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382335,3.4961832,2.816794,-0.519084,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382337,3.3740458,2.7633588,-0.45038167,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382432,3.3816793,2.740458,-0.53435117,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382437,3.5038168,2.7862597,-0.6335878,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382440,3.7328243,2.8854961,-0.610687,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382443,3.9694657,2.9007633,-0.48854962,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382446,4.3206105,3.0076337,-0.67175573,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382534,4.4198475,3.0839694,-0.7557252,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382538,4.3053436,3.0076337,-0.8549618,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382539,4.145038,2.8549619,-0.7480916,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382540,3.7709923,2.572519,-0.6335878,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382541,3.5419848,2.427481,-0.55725193,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382542,3.5496182,2.427481,-0.34351146,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382639,3.832061,2.5801528,-0.38931298,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382641,4.335878,3.0610688,-0.5801527,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382643,4.5114503,3.259542,-0.8091603,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382645,4.519084,3.1221373,-0.67175573,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382646,4.3053436,2.9160306,-0.48854962,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382744,3.816794,2.740458,-0.7251908,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501382750,3.687023,2.5877862,-0.78625953,false,Normal respiration,1A76AB0B-173A-4A80-BA8B-370E8196041A
