# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574501942819,0.24959552,-3.2261868,9.436746,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942827,0.25498247,-3.2190042,9.436746,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942926,0.26396075,-3.2154129,9.440936,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942930,0.27952304,-3.2064347,9.431957,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943029,0.2813187,-3.2148144,9.441534,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943032,0.29867667,-3.2022448,9.425373,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943136,0.27832595,-3.2052376,9.414599,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943140,0.2681506,-3.2064347,9.419388,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943239,0.2717419,-3.2184057,9.437943,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943243,0.28311434,-3.221997,9.449316,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943349,0.27832595,-3.2118216,9.43076,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943351,0.26276365,-3.2052376,9.427768,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943449,0.27353755,-3.2172086,9.436746,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943658,0.27832595,-3.2118216,9.45171,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943662,0.2621651,-3.2016463,9.44333,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943763,0.2681506,-3.208829,9.435549,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943765,0.2741361,-3.1902738,9.440337,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943869,0.27114335,-3.1812954,9.433753,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
