# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574612789835,-1.259542,3.687023,2.4961832,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612789843,-0.8244275,3.6335878,3.0458016,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612789948,0.16030534,3.29771,2.3816793,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790114,0.7099237,3.0076337,1.0610687,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790115,1.5267175,2.3664122,-0.9847328,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790148,3.0687022,1.1374046,-2.167939,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790150,4.1679387,0.55725193,-2.534351,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790253,5.6412215,0.54198474,-2.70229,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790257,6.3893127,0.8854962,-2.3053436,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790362,6.8320613,1.7938931,-1.1145039,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790464,6.740458,2.4732823,-0.2977099,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790467,6.3893127,3.1984732,0.45038167,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790573,5.1374044,3.9389312,1.221374,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790578,5.3969464,3.778626,1.29771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790679,4.2061067,3.3587787,0.099236645,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790681,1.3053435,2.2366412,-1.5114504,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790783,2.053435,1.4961832,-2.572519,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790788,6.4351144,1.4503816,-0.8778626,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790884,6.335878,2.480916,0.129771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790887,5.183206,3.1755726,1.6564885,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790998,4.9694657,3.335878,1.4198474,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791002,0.007633588,3.2748091,-0.57251906,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791093,-2.7480917,2.5496182,-0.45801526,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791096,-2.183206,2.687023,0.28244275,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791204,-2.5419848,2.9312978,0.007633588,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791208,-2.3664122,2.7099237,-0.67175573,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791211,1.3816794,3.7862597,-0.64122134,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791214,2.0,3.908397,-0.129771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791304,5.8778625,2.664122,0.48091602,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791308,6.7938933,2.557252,0.14503817,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791310,6.3587785,2.9312978,-0.5801527,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791313,5.3969464,2.8396947,-0.17557251,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791314,2.572519,3.1908398,0.3129771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791316,2.664122,2.9770992,-0.007633588,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791318,4.6870227,1.6564885,0.0,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791320,5.2366414,1.8625954,0.14503817,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791322,5.5725193,2.2290077,0.32824427,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791323,5.8244276,2.8625953,0.52671754,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791412,5.8396945,2.961832,0.34351146,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791514,5.6793895,3.076336,0.18320611,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791518,5.3893127,3.29771,-0.022900764,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791624,5.2671757,3.2671757,-0.061068702,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791628,5.2366414,2.961832,-0.14503817,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791630,5.1755724,2.4503818,-0.20610687,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791632,5.0992365,2.2137403,-0.2977099,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791635,5.0152674,2.1221373,-0.28244275,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791637,5.0916033,2.2137403,-0.17557251,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791639,5.038168,2.2519083,-0.08396947,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791641,4.923664,2.312977,-0.08396947,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791642,4.374046,2.2290077,-0.3129771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791644,3.961832,2.0687022,-0.5648855,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791645,3.3053436,2.1450381,-1.1603054,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791723,3.2748091,2.2900763,-1.0687023,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791725,3.1984732,2.389313,-0.9236641,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791727,3.1526718,2.389313,-0.8167939,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791728,3.076336,2.206107,-0.71755725,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791730,3.1374047,2.1374047,-0.8778626,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791833,3.2900763,2.1603053,-1.2442749,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791837,3.4122138,2.0458016,-1.4122137,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791840,3.572519,1.8549619,-1.091603,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791842,3.6335878,1.7633588,-0.16793893,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791844,3.5877862,1.7557251,0.21374045,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791934,3.5648854,1.8625954,0.29007635,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791939,3.519084,1.9770992,0.15267175,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792048,3.2137403,2.1374047,-0.10687023,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792052,3.0305343,2.1984732,-0.1908397,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792147,3.038168,2.3435113,-0.129771,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792152,3.1755726,2.4885497,0.007633588,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792252,3.59542,2.6335878,0.07633588,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792256,4.0916033,2.7251909,0.091603056,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792258,4.70229,2.9389312,0.259542,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792261,4.9389315,2.9694657,0.4274809,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792263,4.7557254,3.038168,0.26717559,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792266,4.4656487,2.870229,0.053435113,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792268,4.2519083,2.534351,-0.2977099,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792270,4.183206,2.4580152,-0.48091602,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792272,4.1374044,2.5038168,-0.2977099,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792274,4.145038,2.3587787,-0.259542,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612792353,3.9007633,2.40458,-0.16030534,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
