# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574613286425,-3.1627405,-8.078036,4.4155064,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286433,-3.1681273,-7.928399,4.365228,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286528,-3.1836896,-7.763199,4.2718544,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286634,-3.2136173,-7.6464815,4.1665096,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286638,-3.2094274,-7.7530236,4.140772,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286746,-3.2728736,-8.049905,4.268862,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286749,-3.3506854,-8.103774,4.2999864,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286844,-3.4757824,-8.034343,4.256891,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286847,-3.5535939,-8.005013,4.2538977,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287057,-3.6140475,-8.109759,4.262876,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287163,-3.6332011,-8.24204,4.3520603,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287167,-3.6523547,-8.224682,4.3161473,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287264,-3.5482068,-8.034941,4.092888,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287369,-3.4889505,-8.09719,4.0982747,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287371,-3.4141316,-8.115147,4.010886,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287474,-3.5458126,-8.119935,3.8073792,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287477,-3.6056678,-8.147469,3.7852328,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287683,-3.793014,-8.363545,3.714604,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287685,-3.7984009,-8.395866,3.6978445,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287793,-3.6888664,-8.312668,3.5936968,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287796,-3.6936548,-8.3072815,3.5871127,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287799,-3.6715083,-8.228272,3.6296098,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287801,-3.6643257,-8.18398,3.6876693,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287803,-3.6535518,-8.188768,3.6870706,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287804,-3.6739025,-8.238448,3.6996403,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287807,-3.675698,-8.200739,3.6481647,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287808,-3.6780925,-8.213907,3.6314054,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287810,-3.750517,-8.2593975,3.594894,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287812,-3.7469256,-8.279748,3.5883098,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287894,-3.7720647,-8.246229,3.50571,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287898,-3.776853,-8.2516165,3.5033157,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288008,-3.7750576,-8.255806,3.493739,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288012,-3.769072,-8.243835,3.4781766,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288014,-3.7924154,-8.241441,3.4638114,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288107,-3.82773,-8.237849,3.4769795,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288111,-3.8349125,-8.248624,3.466804,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288113,-3.8325183,-8.249821,3.447052,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288115,-3.839701,-8.252813,3.4392707,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288115,-3.8492777,-8.268974,3.4392707,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288116,-3.8606503,-8.294113,3.4404678,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288117,-3.8594532,-8.307879,3.435081,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288118,-3.8594532,-8.324639,3.4141316,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288119,-3.8510735,-8.319851,3.3997664,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288120,-3.8349125,-8.311471,3.3680432,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288121,-3.8361096,-8.297705,3.3728316,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288212,-3.840898,-8.269572,3.3686419,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288215,-3.8480806,-8.259995,3.3680432,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288314,-3.851672,-8.256405,3.366846,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288318,-3.8564603,-8.268375,3.3722332,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288424,-3.8624458,-8.282143,3.3770216,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288427,-3.8546648,-8.309077,3.3716345,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288430,-3.8594532,-8.343194,3.3854012,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288433,-3.857059,-8.352173,3.3883939,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288524,-3.8642416,-8.307879,3.4033577,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288527,-3.8510735,-8.258201,3.393781,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288531,-3.791817,-8.219295,3.3423057,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288534,-3.7786489,-8.226477,3.3387144,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288631,-3.7792473,-8.241441,3.3746274,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288635,-3.7726634,-8.255207,3.5152867,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288735,-3.834314,-8.261193,3.3512838,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288738,-3.8744168,-8.259995,3.3734303,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288843,-3.9025488,-8.261193,3.369839,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288846,-3.9211037,-8.258201,3.354875,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288944,-3.9653966,-8.251018,3.3207579,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288949,-3.9707835,-8.234259,3.2890346,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288952,-3.9558198,-8.245032,3.2680852,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613288954,-3.9612067,-8.271368,3.2986114,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289055,-3.9522285,-8.198345,3.289633,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289058,-3.9510314,-8.161235,3.3075895,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289156,-4.11683,-8.170812,3.2746694,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289160,-4.1916485,-8.166622,3.2794578,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289262,-4.3418846,-8.142081,3.2573113,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289267,-4.3329067,-8.132504,3.2561142,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289270,-4.2239704,-8.165425,3.1789012,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289272,-4.2263646,-8.157643,3.1693244,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289274,-4.2221746,-8.117541,3.1639376,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289276,-4.213795,-8.11395,3.1423898,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289278,-4.264672,-8.132504,3.1310172,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289280,-4.2658687,-8.161235,3.1238346,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289364,-4.313154,-8.128315,3.0657754,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289369,-4.329315,-8.127716,3.0639796,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289473,-4.426879,-8.157643,3.0490158,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289477,-4.425083,-8.191761,3.0550013,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289574,-4.413112,-8.182783,3.0454245,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289579,-4.407127,-8.140884,2.995745,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289690,-4.3903675,-8.103774,2.9550436,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289694,-4.382586,-8.120534,2.903568,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289697,-4.386776,-8.149862,2.8987796,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289700,-4.4184995,-8.192958,2.9221232,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289702,-4.43466,-8.209119,2.9215245,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289704,-4.4484267,-8.197746,2.906561,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289785,-4.471172,-8.179192,2.8814218,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289789,-4.482544,-8.169615,2.891597,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289792,-4.4603977,-8.109759,2.9011738,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289793,-4.431069,-8.086416,2.9215245,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289795,-4.3580456,-8.023568,2.9293058,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289796,-4.326921,-8.020576,2.8802247,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289798,-4.313154,-8.019379,2.8443117,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289800,-4.3263226,-8.043321,2.822764,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289802,-4.3502645,-8.076241,2.801216,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289803,-4.3873744,-8.125322,2.7850552,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289892,-4.4238863,-8.137293,2.7748797,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289895,-4.502895,-8.1480665,2.7162218,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289994,-4.5501804,-8.176797,2.6641479,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613289998,-4.621408,-8.233061,2.5863364,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290106,-4.6537294,-8.2593975,2.5462334,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290110,-4.689044,-8.267777,2.429516,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290205,-4.7099934,-8.265982,2.3744495,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290210,-4.76087,-8.264186,2.3594859,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290315,-4.781221,-8.265383,2.315193,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290319,-4.795586,-8.280347,2.2948422,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290415,-4.7979803,-8.280945,2.2942438,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290420,-4.8003745,-8.262989,2.2990322,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290519,-4.7925935,-8.218696,2.307412,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290522,-4.76925,-8.198944,2.3175871,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290627,-4.724957,-8.177396,2.3989902,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290631,-4.709395,-8.148665,2.463035,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290633,-4.6740804,-8.0127945,2.570774,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290635,-4.666898,-8.013393,2.5779567,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290637,-4.663905,-8.079832,2.4678235,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290639,-4.678869,-8.106169,2.4504654,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290641,-4.753089,-8.170214,2.4331074,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290643,-4.7524905,-8.174403,2.4432828,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290644,-4.741118,-8.132504,2.420538,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290646,-4.734534,-8.121731,2.416348,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290728,-4.7363296,-8.108562,2.4941597,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290731,-4.731541,-8.099585,2.496554,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290733,-4.731541,-8.083424,2.516306,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290735,-4.7297454,-8.06008,2.5234885,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290737,-4.7321396,-8.051701,2.5049336,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290839,-4.7417164,-8.066664,2.5013423,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290844,-4.747103,-8.082825,2.5133133,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290945,-4.743512,-8.091804,2.5019407,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290950,-4.741118,-8.091205,2.4929626,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290954,-4.721366,-8.091804,2.484583,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290957,-4.7159786,-8.087015,2.4774003,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290960,-4.7135844,-8.100781,2.473809,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290963,-4.71538,-8.108562,2.4732103,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290965,-4.7159786,-8.114548,2.4851813,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613290968,-4.71538,-8.110957,2.48578,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291044,-4.729147,-8.106169,2.5061307,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291048,-4.730344,-8.0924015,2.5061307,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291051,-4.7219644,-8.077438,2.5169046,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291052,-4.7243586,-8.082227,2.5181017,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291053,-4.730344,-8.109161,2.5079262,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291054,-4.7255554,-8.119935,2.4899697,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291155,-4.7243586,-8.12233,2.4714148,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291159,-4.729147,-8.116942,2.4480712,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291162,-4.724957,-8.124125,2.4492683,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291166,-4.723161,-8.12592,2.4516625,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291168,-4.71538,-8.120534,2.4486697,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291255,-4.7135844,-8.112154,2.4480712,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291259,-4.711789,-8.117541,2.44448,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291263,-4.720767,-8.12592,2.4528596,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291266,-4.7165775,-8.1343,2.4702177,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291268,-4.7135844,-8.123527,2.460641,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291271,-4.705205,-8.10138,2.4396915,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291359,-4.7046065,-8.103774,2.4372973,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291363,-4.7046065,-8.1163435,2.4426842,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291366,-4.699818,-8.136096,2.4534583,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291369,-4.7046065,-8.149862,2.4516625,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291372,-4.7058034,-8.159439,2.4588451,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291465,-4.709395,-8.147469,2.4546554,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291469,-4.702811,-8.128913,2.456451,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291472,-4.6926355,-8.112753,2.460641,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291475,-4.697424,-8.101978,2.4534583,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291477,-4.698621,-8.094796,2.4522612,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291575,-4.7141833,-8.099585,2.4420857,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291579,-4.7261543,-8.122928,2.4390929,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291582,-4.729147,-8.1402855,2.4504654,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291585,-4.727351,-8.14687,2.4546554,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291587,-4.724957,-8.15525,2.461838,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291674,-4.727351,-8.161834,2.4642322,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291678,-4.7189717,-8.154053,2.4636335,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291789,-4.721366,-8.159439,2.4624364,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291794,-4.717176,-8.174403,2.4612393,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291889,-4.7046065,-8.200739,2.4642322,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291894,-4.697424,-8.22109,2.4720132,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291898,-4.721366,-8.249821,2.4791958,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291902,-4.7321396,-8.251018,2.461838,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291905,-4.7297454,-8.246828,2.4504654,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291908,-4.7004166,-8.238448,2.486977,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291910,-4.666898,-8.224083,2.533664,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291913,-4.6016555,-8.207323,2.6060886,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291915,-4.5681367,-8.175002,2.6360161,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291917,-4.5322237,-8.110957,2.6557682,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291988,-4.5034933,-8.015787,2.8245595,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291991,-4.486734,-8.00621,2.8688521,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291993,-4.4699745,-8.040926,2.9221232,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291994,-4.457405,-8.067263,2.944868,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613291996,-4.437054,-8.091205,2.9825768,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292095,-4.4286747,-8.087613,2.992752,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292100,-4.419098,-8.075643,2.9712043,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292102,-4.4047327,-8.083424,2.9646204,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292104,-4.367024,-8.123527,2.971803,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292106,-4.3263226,-8.145673,2.9825768,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613292205,-4.268862,-8.180987,2.9879637,false,Normal respiration,496394D6-33BE-42E3-83F5-0D300A8DB681
