# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574441417536,2.9541984,2.3053436,-0.3129771,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441417957,3.3664122,2.7862597,-0.29007635,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418484,3.7480917,2.8778627,-0.29007635,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418488,1.9694656,2.8854961,-0.38931298,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418585,3.923664,2.870229,-0.41221374,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418588,3.8625953,2.961832,-0.32061067,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418590,3.8931298,2.9541984,-0.32061067,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418693,3.908397,3.053435,-0.26717559,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418696,3.9847329,3.0610688,-0.18320611,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418698,4.0076337,3.053435,-0.1908397,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418796,4.0534353,3.076336,-0.29007635,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418799,4.366412,2.9312978,-0.6183206,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418905,3.9007633,2.8931298,-0.5038168,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418909,5.0152674,3.335878,0.122137405,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441418912,4.0839696,2.3053436,-1.3053435,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419005,3.664122,1.8854961,-1.5114504,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419217,3.4885497,1.7709924,-1.4580153,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419221,3.4503818,1.9160305,-0.8091603,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419325,3.6412213,1.9236641,-0.8167939,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419328,3.7328243,1.8854961,-1.0839695,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419330,3.2519083,2.1603053,-0.14503817,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419495,3.0610688,2.3053436,0.061068702,true,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419496,3.572519,2.946565,-0.20610687,true,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419497,3.610687,2.6717558,-0.5038168,true,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419530,3.480916,2.206107,-0.73282444,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419635,3.7175572,2.5114503,-0.6793893,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419638,3.6793892,2.442748,-0.41984734,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419741,3.7175572,2.0229008,1.5648855,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419747,4.068702,6.70229,3.1908398,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419850,5.6793895,5.366412,2.221374,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419854,5.3511453,3.221374,0.60305345,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419857,2.6412213,4.1221375,1.5419847,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419950,2.3053436,3.59542,-0.13740458,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419960,3.0152671,3.1068702,-2.0076337,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441419962,5.7328243,2.2366412,-2.6946564,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420065,5.480916,3.1603053,-0.78625953,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420067,4.4656487,3.7251909,1.038168,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420069,3.7328243,2.778626,-0.41984734,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420166,4.2290077,3.0229008,-0.27480915,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420265,4.671756,2.6793892,-0.7557252,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420268,4.4656487,2.6183207,-0.6946565,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420270,4.259542,2.648855,-0.17557251,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420376,3.778626,2.870229,0.55725193,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420379,3.6335878,3.206107,0.90839696,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
1574441420475,3.7709923,3.3206108,0.71755725,false,Start wait time,62DCC903-E02B-4395-AB9F-18C2E80853EA
