# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574439852668,2.0841527,-9.048885,3.2573113,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852674,2.0638018,-9.041104,3.2136173,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852676,2.0578163,-9.044097,3.210026,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852677,2.0649989,-9.071032,3.1890767,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852768,2.0602105,-9.093777,3.1878796,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852771,2.0482395,-9.097368,3.1944637,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852873,2.042254,-9.062652,3.17531,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852877,2.0482395,-9.02614,3.1549592,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852879,2.066196,-9.041104,3.168726,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852881,2.0608091,-9.080608,3.204639,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852882,2.0620062,-9.093178,3.2076318,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852884,2.079364,-9.073426,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852884,2.0745757,-9.062054,3.1747115,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852885,2.0578163,-9.054871,3.1723173,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852980,2.0512323,-9.058462,3.1812954,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852983,2.054225,-9.064447,3.1800983,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852985,2.0524294,-9.078215,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852986,2.043451,-9.081805,3.2076318,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439852987,2.0380642,-9.075222,3.204639,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853090,2.0667946,-9.057265,3.1794999,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853093,2.0655975,-9.063849,3.1950622,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853095,2.0530279,-9.083003,3.1992521,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853098,2.0524294,-9.078215,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853100,2.0518308,-9.054273,3.1771057,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853102,2.047641,-9.045893,3.1878796,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853190,2.0470424,-9.063251,3.1944637,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853194,2.055422,-9.072228,3.1908724,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853196,2.0530279,-9.074623,3.176507,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853199,2.059612,-9.065644,3.181894,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853201,2.0572178,-9.065644,3.176507,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853293,2.055422,-9.06744,3.1783028,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853503,2.0626047,-9.069835,3.1789012,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853507,2.066196,-9.063849,3.1729157,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853509,2.058415,-9.059659,3.177704,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853511,2.0440497,-9.051279,3.1914709,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853514,2.047641,-9.0476885,3.1824925,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853516,2.0512323,-9.058462,3.1794999,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853518,2.0548236,-9.064447,3.1759086,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853520,2.0548236,-9.073426,3.180697,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853821,2.058415,-9.073426,3.1830912,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853824,2.058415,-9.078215,3.1771057,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853827,2.0548236,-9.073426,3.177704,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853828,2.0488381,-9.066842,3.1848867,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853830,2.0470424,-9.069835,3.1812954,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853832,2.0536265,-9.075222,3.180697,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853834,2.0536265,-9.0842,3.1789012,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853836,2.0638018,-9.07582,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853924,2.0602105,-9.068039,3.1854854,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853927,2.0530279,-9.059659,3.1890767,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853929,2.0805612,-9.088988,3.1836896,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853932,2.0691888,-9.08001,3.1842883,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853934,2.0500352,-9.066243,3.181894,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853936,2.0428526,-9.046491,3.1956608,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439853938,2.0500352,-9.044696,3.192668,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854030,2.0512323,-9.054871,3.1920695,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854033,2.0494366,-9.065644,3.193865,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854035,2.0452468,-9.076419,3.1848867,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854037,2.0452468,-9.060856,3.17531,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854038,2.0709844,-9.065046,3.1681273,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854134,2.070386,-9.087193,3.1896753,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854137,2.0578163,-9.08001,3.1956608,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854139,2.0470424,-9.056067,3.180697,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854141,2.0410569,-9.041104,3.1789012,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854144,2.0452468,-9.051878,3.1896753,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854146,2.0482395,-9.065644,3.1866825,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854239,2.0488381,-9.076419,3.193865,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854242,2.0548236,-9.0842,3.1836896,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854244,2.0512323,-9.062652,3.1848867,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854247,2.0500352,-9.065046,3.1836896,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854249,2.0638018,-9.066243,3.1842883,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854344,2.0685902,-9.068039,3.1789012,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854348,2.0590134,-9.066842,3.1872811,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854350,2.054225,-9.064447,3.1920695,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854351,2.0452468,-9.060258,3.1854854,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854470,2.0500352,-9.059659,3.1836896,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854472,2.0566192,-9.068638,3.1848867,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854473,2.0626047,-9.074623,3.1830912,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854474,2.0590134,-9.081207,3.1890767,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854475,2.058415,-9.083601,3.1872811,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854476,2.0614076,-9.071032,3.1860838,true,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854553,2.0632033,-9.063849,3.1848867,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854555,2.0566192,-9.060856,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854556,2.0500352,-9.064447,3.1932666,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854557,2.0488381,-9.071032,3.1986535,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854558,2.0446482,-9.065046,3.2040405,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854660,2.0482395,-9.0554695,3.1836896,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854664,2.0500352,-9.060258,3.1890767,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854666,2.0458453,-9.076419,3.1920695,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854770,2.0602105,-9.080608,3.193865,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854974,2.0644004,-9.068039,3.1860838,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854980,2.058415,-9.0554695,3.1866825,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854982,2.0649989,-9.051279,3.1950622,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854983,2.071583,-9.056067,3.1890767,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854985,2.0745757,-9.08001,3.1872811,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854987,2.0488381,-9.105149,3.1956608,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854989,2.03148,-9.088389,3.2034419,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439854990,2.0290859,-9.029732,3.1717186,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855078,2.0398598,-9.020754,3.1597476,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855082,2.0530279,-9.048286,3.176507,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855084,2.067393,-9.08001,3.1902738,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855184,2.0500352,-9.058462,3.1920695,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855191,2.043451,-9.072827,3.198055,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855194,2.034473,-9.081805,3.1932666,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855196,2.0638018,-9.063251,3.1812954,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855198,2.0685902,-9.073426,3.1830912,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
1574439855200,2.0638018,-9.0794115,3.204639,false,Start wait time,D46977FA-46CF-41D2-A972-EDEAEBB9C9E5
