# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574442094266,2.9923663,2.206107,-0.32824427,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094272,3.610687,2.4732823,-0.3740458,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094365,4.114504,2.5877862,-0.21374045,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094370,3.8396947,2.6717558,-0.129771,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094475,3.664122,2.7099237,-0.10687023,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094479,3.6564887,2.8015268,-0.099236645,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094576,3.7862597,2.8778627,-0.10687023,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094580,3.8549619,2.9923663,-0.091603056,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094684,3.8931298,3.0305343,-0.10687023,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094688,4.0,3.1221373,-0.122137405,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094896,4.0458016,3.1526718,-0.13740458,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094899,3.9541984,3.091603,-0.19847329,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094901,3.8931298,2.9923663,-0.29007635,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094902,3.8473282,2.9160306,-0.35114503,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094904,3.8931298,2.923664,-0.3816794,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094905,3.9770992,2.8931298,-0.32824427,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094907,3.9694657,2.961832,-0.49618322,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094909,3.908397,2.908397,-0.48091602,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094910,3.8396947,2.9847329,-0.19847329,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094995,3.9541984,3.076336,-0.19847329,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442094998,4.0534353,2.9847329,-0.41984734,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095099,4.0610685,3.0076337,-0.4274809,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095102,3.9923663,3.053435,-0.36641222,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095204,3.9923663,3.0152671,-0.41221374,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095207,4.0152674,3.0,-0.46564886,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095209,4.0152674,2.9694657,-0.48854962,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095212,3.961832,2.9847329,-0.49618322,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095214,3.9007633,3.0152671,-0.52671754,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095216,3.9160306,3.0458016,-0.5954198,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095217,4.0229006,3.0076337,-0.55725193,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095316,4.1374044,3.0076337,-0.5496183,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095420,4.0916033,3.053435,-0.5496183,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095424,3.946565,3.091603,-0.519084,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
1574442095427,3.832061,3.0839694,-0.610687,false,Start wait time,E3326F73-772A-4FD4-A2B1-5E0DF92FE9D0
