# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574444072014,-5.2289367,2.44448,7.99005,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072027,-5.2289367,2.44448,8.022371,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072029,-5.233126,2.4510639,8.021772,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072031,-5.241506,2.4594438,8.022371,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072119,-5.243302,2.4702177,8.016984,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072122,-5.2504845,2.4893713,8.019379,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072224,-5.2361193,2.4893713,8.023568,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072226,-5.2355204,2.4744074,8.040328,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072329,-5.2259436,2.4714148,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072331,-5.233126,2.4809916,8.027759,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072332,-5.233725,2.484583,8.027759,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072334,-5.233126,2.4875755,8.03554,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072336,-5.2397103,2.4774003,8.036138,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072337,-5.246893,2.4708161,8.038532,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072338,-5.2504845,2.475006,8.034941,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072340,-5.246893,2.4833858,8.024167,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072341,-5.2444987,2.4875755,8.024766,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072434,-5.241506,2.493561,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072436,-5.227141,2.5019407,8.010401,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072438,-5.2343235,2.4821887,8.016984,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072439,-5.240309,2.4690206,8.026561,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072440,-5.249287,2.460641,8.052299,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072442,-5.2385135,2.4791958,8.031349,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072443,-5.251083,2.4534583,8.040926,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072539,-5.2846017,2.4390929,8.069656,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072541,-5.2319293,2.4492683,8.063073,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072542,-5.245097,2.4863784,8.034941,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072543,-5.261258,2.4917655,8.013991,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072545,-5.242703,2.4971523,8.010401,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072644,-5.221155,2.498948,8.019978,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072646,-5.2121773,2.493561,8.032547,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072647,-5.221155,2.493561,8.034941,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072649,-5.249287,2.4785974,8.036138,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072650,-5.2558713,2.472612,8.0445175,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072749,-5.2444987,2.4708161,8.043321,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072752,-5.242703,2.4756045,8.033145,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072854,-5.239112,2.480393,8.027759,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072856,-5.2522798,2.4887726,8.019978,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072959,-5.2361193,2.5103204,8.015189,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444072962,-5.2325277,2.510919,8.00621,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073169,-5.245696,2.4941597,8.008006,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073172,-5.221754,2.4863784,8.033145,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073173,-5.2522798,2.4839842,8.039729,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073274,-5.2606597,2.5067291,8.028357,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073276,-5.2636523,2.5169046,8.019379,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073379,-5.258864,2.5139117,8.003817,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073382,-5.2486887,2.4983494,8.023568,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073383,-5.221754,2.4768016,8.034941,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073384,-5.2385135,2.473809,8.032547,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073386,-5.2474914,2.48578,8.01878,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073387,-5.2564697,2.4941597,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073389,-5.2462945,2.493561,8.041525,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073390,-5.249287,2.4875755,8.042722,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073391,-5.2540755,2.4785974,8.038532,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073484,-5.2355204,2.5121162,8.010401,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073486,-5.2439003,2.5049336,8.024167,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073488,-5.2421045,2.5234885,8.005013,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073489,-5.2684407,2.4833858,8.025364,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073491,-5.288193,2.4666264,8.056489,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073492,-5.2486887,2.4863784,8.04392,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073589,-5.239112,2.517503,8.010999,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073591,-5.228338,2.5270798,7.9990277,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073696,-5.21517,2.517503,8.000824,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073699,-5.2085857,2.5079262,8.01459,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073702,-5.2127757,2.5007436,8.016386,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073705,-5.240309,2.498948,8.028955,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073707,-5.2558713,2.4995465,8.029554,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073710,-5.2726307,2.5001452,8.03554,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073713,-5.269638,2.5025394,8.031349,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073715,-5.2409077,2.5019407,8.02716,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073716,-5.229535,2.4953568,8.032547,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073879,-5.2241483,2.5013423,8.030152,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073880,-5.2139726,2.5300727,7.997831,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073881,-5.263054,2.5103204,8.01878,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073882,-5.227141,2.517503,8.019379,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073883,-5.243302,2.516306,8.015787,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073903,-5.269638,2.508525,8.01878,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444073904,-5.2702365,2.5127146,8.015189,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074114,-5.2516813,2.5169046,8.011598,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074116,-5.245097,2.5151088,8.01878,true,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074120,-5.230732,2.5121162,8.021772,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074219,-5.221754,2.5037365,8.026561,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074221,-5.2343235,2.5025394,8.027759,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074429,-5.242703,2.504335,8.023568,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074432,-5.2522798,2.516306,8.010401,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074534,-5.2558713,2.5252843,8.001422,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074536,-5.267244,2.5300727,7.992444,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074537,-5.2528787,2.5258827,7.9996266,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074849,-5.233725,2.5049336,8.025364,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074851,-5.243302,2.521693,8.018182,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074852,-5.2564697,2.520496,8.016386,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074854,-5.2636523,2.5270798,8.008605,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074856,-5.2277393,2.5276785,8.005013,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074857,-5.269039,2.5342624,8.010401,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074859,-5.234922,2.540248,7.997831,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074860,-5.2343235,2.5061307,8.030751,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074862,-5.255273,2.5001452,8.034343,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074955,-5.2720323,2.4941597,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444074958,-5.265448,2.5013423,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075063,-5.2157683,2.4797945,8.030152,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075067,-5.2235494,2.4612393,8.039131,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075165,-5.228338,2.4678235,8.041525,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075168,-5.2498856,2.4887726,8.0367365,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075277,-5.2606597,2.4971523,8.017583,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075279,-5.257667,2.4839842,8.009802,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075281,-5.2397103,2.4720132,8.030152,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075283,-5.231331,2.4714148,8.034343,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075285,-5.2301335,2.4768016,8.040328,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075287,-5.2421045,2.4809916,8.029554,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075289,-5.2522798,2.4863784,8.032547,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075290,-5.2540755,2.492364,8.031948,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075291,-5.233126,2.472612,8.02716,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075374,-5.2385135,2.480393,8.02297,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075376,-5.2223525,2.4648306,8.01878,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075480,-5.2157683,2.4702177,8.024167,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075483,-5.2409077,2.475006,8.042722,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075486,-5.258864,2.4762032,8.039729,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075488,-5.254674,2.4911668,8.0127945,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075491,-5.282806,2.4636335,8.031349,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
1574444075493,-5.276222,2.4361002,8.063671,false,Start wait time,88553229-D95D-4F0C-B59D-5FAF554C424E
