# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574490565432,4.9296613,-8.301296,-1.8004397,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565440,4.9344497,-8.300098,-1.7956513,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565443,4.9398365,-8.303091,-1.7980455,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565445,4.9428296,-8.304289,-1.8046296,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565447,4.944625,-8.309675,-1.8016368,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565448,4.9536033,-8.306085,-1.8088194,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565449,4.953005,-8.304289,-1.8052281,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565450,4.9440265,-8.306683,-1.8064252,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565451,4.936844,-8.2995,-1.8070238,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565537,4.9404354,-8.297705,-1.7962499,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565538,4.9458222,-8.300697,-1.7950528,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565540,4.947618,-8.311471,-1.7932571,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565542,4.9422307,-8.315661,-1.7998412,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565543,4.9428296,-8.30369,-1.7998412,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565642,4.9440265,-8.300697,-1.8100165,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565646,4.927267,-8.31207,-1.8154035,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565648,4.9308586,-8.318055,-1.8124107,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565650,4.935647,-8.328231,-1.8112136,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565652,4.943428,-8.328231,-1.8046296,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565654,4.951209,-8.328231,-1.8034325,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565750,4.951209,-8.331821,-1.8022354,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
