# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574500837446,-0.19093758,-9.26556,3.304597,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837456,-0.17597382,-9.211093,3.37762,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837554,-0.17417817,-9.156026,3.4278982,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837558,-0.18016368,-9.057265,3.4865563,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837763,-0.19393034,-8.986037,3.5063083,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837767,-0.21188685,-8.975264,3.5482068,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837944,-0.21787235,-8.98484,3.554791,true,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837945,-0.29508537,-9.035119,3.5715504,true,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837968,-0.30047232,-9.072827,3.514688,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500837971,-0.28191724,-9.210494,3.459023,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838075,-0.26036942,-9.278131,3.435081,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838079,-0.28491,-9.244013,3.426701,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838182,-0.2873042,-9.137471,3.3740287,true,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838186,-0.2789245,-9.016563,3.256713,true,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838602,-0.16160862,-8.304887,3.2956185,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838606,-0.24181437,-8.610147,3.3620577,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838704,-0.5021838,-9.665991,3.0382419,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838708,-0.5231331,-9.696517,2.9819782,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838813,-0.11611878,-9.239823,3.0226796,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500838816,-0.15263036,-9.407417,3.2196028,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500839022,-0.3866636,-9.19134,3.50571,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500839025,-0.4405331,-9.345168,3.5972881,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500839027,-0.3878607,-8.805874,3.6655228,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500839029,-0.38845924,-8.734048,3.6373909,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
1574500839031,-0.34117374,-9.096769,3.6182373,false,Start wait time,EE84F02C-2258-4F41-8086-D8CC9CB9B941
