# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574501379280,0.39384618,9.916184,-0.76075757,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379288,0.3878607,9.910798,-0.75716627,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379701,0.39624038,9.913192,-0.7667431,true,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501379703,0.39683893,9.905411,-0.7404069,true,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380027,0.41479546,9.906608,-0.7248446,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380029,0.42317516,9.910798,-0.7092823,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380120,0.41838676,9.909601,-0.6979098,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380124,0.41958386,9.905411,-0.6967127,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380224,0.4297592,9.903615,-0.7062895,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380228,0.41838676,9.900622,-0.724246,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380332,0.41120413,9.909601,-0.7236475,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380434,0.39384618,9.906608,-0.7236475,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380439,0.39564183,9.924564,-0.74639237,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380540,0.40521863,9.914988,-0.7356185,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380543,0.39743748,9.907207,-0.748188,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380546,0.43035775,9.903615,-0.7248446,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380548,0.40462008,9.919776,-0.7469909,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380549,0.39743748,9.91439,-0.75716627,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380551,0.427365,9.888652,-0.7146692,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380552,0.42676646,9.898827,-0.6997054,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
1574501380554,0.40462008,9.916783,-0.7469909,false,Start wait time,1A76AB0B-173A-4A80-BA8B-370E8196041A
