# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574501942819,2.7099237,2.3587787,-0.23664123,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942827,3.1221373,2.59542,-0.23664123,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942926,3.480916,2.7175572,-0.46564886,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501942930,3.6030533,2.740458,-0.57251906,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943029,3.6564887,2.8244274,-0.53435117,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943032,3.7099237,3.0152671,-0.41221374,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943136,3.6412213,3.1603053,-0.35877863,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943140,3.6259542,2.9389312,-0.32824427,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943239,3.6183207,2.8244274,-0.34351146,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943243,3.7251909,2.8778627,-0.39694658,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943349,3.816794,2.9847329,-0.4427481,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943351,3.778626,3.1068702,-0.46564886,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943449,3.778626,2.9847329,-0.5114504,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943658,3.7862597,2.946565,-0.46564886,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943662,3.687023,3.0076337,-0.4427481,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943763,3.70229,2.8931298,-0.4427481,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943765,3.793893,2.9541984,-0.2519084,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943869,3.7251909,2.8854961,-0.19847329,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943873,3.5038168,2.946565,-0.091603056,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943874,3.6183207,2.9541984,-0.122137405,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943875,3.8244274,2.8931298,-0.29007635,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943876,3.9847329,3.0,-0.32061067,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
1574501943876,3.5801528,2.9694657,-0.46564886,false,Start wait time,B53EE7F7-C08C-4844-9A44-0C194CB92392
