# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574596493454,-9.336788,2.558803,-0.86969376,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493469,-9.3583355,2.5181017,-0.8403648,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493553,-9.336788,2.4953568,-0.8355764,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493557,-9.303269,2.4714148,-0.84575176,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493657,-9.266159,2.4666264,-0.85293436,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493661,-9.2787285,2.4809916,-0.8619126,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493762,-9.313444,2.5049336,-0.8631097,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493766,-9.340978,2.510919,-0.8499416,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493874,-9.320028,2.4905684,-0.8331822,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493878,-9.264962,2.460641,-0.8331822,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493975,-9.249998,2.4690206,-0.82779527,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596493978,-9.303867,2.521693,-0.83138657,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494084,-9.306861,2.4827871,-0.83497787,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494088,-9.271546,2.4349031,-0.83018947,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494319,-9.347562,2.5192988,-0.85652566,true,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494321,-9.329007,2.4660277,-0.83138657,true,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494393,-9.31524,2.4971523,-0.8230068,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494397,-9.290101,2.4486697,-0.8158242,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494498,-9.330803,2.4791958,-0.8182184,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494508,-9.305065,2.4432828,-0.82779527,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494602,-9.273342,2.4899697,-0.83497787,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494606,-9.312846,2.5187001,-0.84575176,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494707,-9.356541,2.5432408,-0.8242039,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494711,-9.345168,2.5270798,-0.8415619,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494713,-9.305663,2.5001452,-0.83258367,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494716,-9.329605,2.498948,-0.8230068,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494814,-9.27394,2.4648306,-0.81642276,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494818,-9.281721,2.504335,-0.8367735,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494917,-9.31943,2.4863784,-0.8367735,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596494920,-9.274539,2.4678235,-0.83737206,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495024,-9.333796,2.5007436,-0.8331822,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495028,-9.311649,2.4714148,-0.81881696,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495127,-9.320028,2.517503,-0.8391677,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495132,-9.3260145,2.5037365,-0.83737206,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495134,-9.3260145,2.4708161,-0.830788,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495135,-9.3182335,2.472612,-0.825401,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495136,-9.2907,2.4744074,-0.83018947,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495137,-9.294889,2.4486697,-0.81881696,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495137,-9.32781,2.5031378,-0.8355764,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495347,-9.300875,2.4797945,-0.8218097,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495350,-9.318831,2.553416,-0.82899237,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495442,-9.320028,2.4774003,-0.8050503,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495446,-9.279925,2.5420437,-0.8295909,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495548,-9.306861,2.5234885,-0.80564886,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495556,-9.308058,2.509722,-0.8086416,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495557,-9.311649,2.5007436,-0.8026561,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495558,-9.307459,2.521693,-0.8062474,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495560,-9.336788,2.5312698,-0.80445176,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495562,-9.356541,2.5288756,-0.8074445,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495563,-9.348759,2.5025394,-0.8086416,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495565,-9.226655,2.4887726,-0.8098387,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495566,-9.317036,2.4732103,-0.81402856,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495568,-9.3104515,2.4678235,-0.8110358,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495652,-9.259575,2.4235306,-0.7906851,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495656,-9.266159,2.4241292,-0.78888947,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495658,-9.300277,2.5067291,-0.8110358,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495660,-9.326612,2.5582044,-0.82240826,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495662,-9.351752,2.5725696,-0.8391677,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495765,-9.3499565,2.5169046,-0.8170213,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495768,-9.339182,2.4702177,-0.7966706,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495771,-9.312846,2.4809916,-0.8074445,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495773,-9.274539,2.5091233,-0.83018947,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495776,-9.268554,2.5222914,-0.83737206,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495778,-9.28232,2.5037365,-0.82480246,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495865,-9.299079,2.4678235,-0.81761986,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495868,-9.305065,2.48159,-0.8110358,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495871,-9.291897,2.517503,-0.82001406,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495873,-9.294291,2.5330653,-0.82779527,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495876,-9.314043,2.5222914,-0.8230068,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495968,-9.323022,2.5037365,-0.81163436,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495976,-9.308656,2.492364,-0.80924016,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495978,-9.303269,2.5013423,-0.81343,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495980,-9.297882,2.5019407,-0.81881696,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596495981,-9.294291,2.4768016,-0.82240826,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496074,-9.290101,2.4552538,-0.80684596,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496077,-9.298481,2.460641,-0.8026561,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496079,-9.303867,2.4953568,-0.8110358,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496081,-9.3026705,2.5288756,-0.83018947,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496083,-9.308058,2.5210943,-0.82719666,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496177,-9.317036,2.4899697,-0.8170213,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496182,-9.322423,2.5001452,-0.825401,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496184,-9.329007,2.5121162,-0.82899237,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496186,-9.317635,2.5181017,-0.8319851,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496189,-9.297882,2.48578,-0.8230068,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496284,-9.2787285,2.4666264,-0.8242039,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496288,-9.269751,2.4570496,-0.81761986,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496290,-9.279327,2.4827871,-0.8230068,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496293,-9.297284,2.5115175,-0.83737206,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496294,-9.329605,2.529474,-0.83497787,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496296,-9.342773,2.5187001,-0.83737206,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496395,-9.3421755,2.492364,-0.8379706,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496399,-9.329007,2.460641,-0.8379706,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496494,-9.316438,2.473809,-0.8343793,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496497,-9.288904,2.5181017,-0.842759,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496500,-9.288305,2.542642,-0.84575176,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496502,-9.298481,2.510919,-0.85054016,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
1574596496505,-9.299079,2.457648,-0.82779527,false,Start wait time,BCBACAFA-DD43-49F8-A7F9-720FA14F3994
