# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574597353675,-0.25677812,-8.931569,3.532046,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597353687,-0.23044191,-8.916606,3.3967736,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597353778,-0.2789245,-9.058462,3.5811272,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597353783,-0.26755205,-8.969278,4.061165,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354382,0.020949265,-8.625112,3.8923733,true,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354384,0.04249708,-8.072051,3.470994,true,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354617,-0.47764325,-8.39048,3.6774938,true,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354621,-1.1749545,-11.679515,4.619612,true,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354623,-0.56922144,-11.535264,4.872799,true,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354725,-0.28072014,-7.047333,2.7611132,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354728,-1.2910733,-5.831677,2.4839842,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354827,-1.0528502,-9.194333,3.6116533,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354832,-0.47285482,-10.26095,3.6361938,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354939,-0.81642276,-8.392276,3.4392707,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597354942,-0.86969376,-8.930971,4.10845,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597355038,-0.682946,-8.91481,4.1503487,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597355042,-0.19572599,-9.144054,4.0785227,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
1574597355143,-0.272939,-9.151836,4.050989,false,Start wait time,60AA4631-0457-4A96-A979-9FBC714EE63B
