# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574612142805,2.6717558,1.8854961,-0.17557251,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612142815,2.816794,1.9847329,-0.32061067,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612142912,2.8778627,2.129771,-0.48854962,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612142916,3.0229008,2.29771,-0.39694658,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143015,3.2900763,2.5496182,-0.35877863,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143019,3.4351146,2.664122,-0.48091602,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143123,3.465649,2.610687,-0.6259542,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143126,3.4885497,2.5877862,-0.8854962,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143226,3.480916,2.519084,-1.0458015,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143230,3.2824428,2.5267177,-1.2061069,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143232,2.9389312,2.6183207,-1.3816794,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143234,2.778626,2.2442749,-2.0458016,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143235,2.9541984,1.9770992,-2.465649,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143238,3.3740458,2.221374,-1.908397,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143240,3.6793892,2.6793892,-0.8549618,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143334,4.0305343,3.1374047,0.73282444,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143338,5.671756,3.4885497,3.7251909,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143514,5.4656487,3.557252,4.3816795,true,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143516,2.6946564,2.4198472,-1.6793894,true,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143540,2.6793892,2.3969467,-2.076336,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143541,2.7251909,2.5038168,-1.8931298,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143645,2.8244274,2.557252,-1.3816794,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143648,3.0305343,2.5801528,-1.091603,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143751,3.2137403,2.465649,-0.84732825,true,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143754,3.2442749,2.4198472,-0.8396947,true,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143855,3.2824428,2.427481,-1.1526718,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143859,3.3740458,2.4885497,-1.4122137,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143963,3.70229,2.4198472,-1.7328244,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612143967,3.8015268,2.4580152,-1.6259542,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144072,3.465649,2.4961832,-0.99236643,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144074,3.3282442,2.480916,-0.9465649,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144179,3.687023,2.664122,-0.86259544,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144182,3.70229,2.687023,-0.9694657,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144275,3.5267177,2.5877862,-0.66412216,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144280,3.5114503,2.4732823,-0.6183206,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144485,3.6946564,2.687023,-0.3816794,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144489,3.4351146,2.7099237,-0.6259542,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144696,3.0610688,2.1145039,-0.5648855,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144700,3.053435,2.3664122,-0.08396947,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144701,2.8931298,3.076336,-0.1908397,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144703,2.8396947,3.0458016,-0.48091602,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144704,2.923664,3.4961832,-0.06870229,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144705,2.9007633,3.259542,0.091603056,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144707,2.8931298,2.3587787,-0.23664123,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144707,3.076336,2.40458,-0.030534351,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144708,3.5801528,2.923664,-0.55725193,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144709,3.5648854,2.9007633,-0.45801526,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144710,3.4198472,2.3435113,-0.29007635,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144805,3.3587787,2.3206108,-0.4351145,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144808,3.427481,2.1603053,-0.3740458,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144810,3.4885497,2.1221373,-0.099236645,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144906,3.7251909,2.2824428,0.18320611,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144909,3.8473282,2.8015268,0.32061067,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144911,3.961832,3.335878,0.22900763,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144912,3.9160306,3.3587787,0.015267176,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144914,3.7099237,3.0305343,-0.3816794,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144915,3.557252,2.832061,-0.47328246,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612144917,3.442748,2.7480917,-0.3053435,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145013,3.4732823,2.816794,-0.21374045,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145016,3.4885497,2.8854961,-0.259542,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145019,3.534351,2.7862597,-0.64122134,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145115,3.5496182,2.6946564,-0.86259544,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145119,3.557252,2.7099237,-1.0152671,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145229,3.6793892,2.7633588,-0.89312977,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145233,3.6717558,2.7099237,-0.7557252,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145235,3.7175572,2.4732823,-0.78625953,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145325,3.6793892,2.3435113,-0.70229006,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145329,3.664122,2.389313,-0.64122134,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145431,3.7328243,2.5801528,-0.5954198,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
1574612145435,3.6946564,2.6259542,-0.5954198,false,Start wait time,365382D4-4101-421D-B5DB-E73AB6067337
