# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574612789835,-2.5953147,-1.6484078,9.414001,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612789843,-2.5558102,-1.7016789,9.427768,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612789948,-2.4833858,-1.7495629,9.432556,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790114,-2.4600422,-1.7705121,9.415198,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790115,-2.4941597,-1.83336,9.519346,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790148,-2.475006,-1.8848352,9.626487,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790150,-2.4199393,-1.8974048,9.658808,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790253,-2.36188,-1.8303672,9.710283,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790257,-2.319383,-1.757344,9.68694,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790362,-2.2720973,-1.6741456,9.611523,true,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790464,-2.2535424,-1.6454151,9.585187,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790467,-2.2349873,-1.5951369,9.539098,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790573,-2.3295584,-1.4748282,9.457695,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790578,-2.3540988,-1.4706384,9.464878,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790679,-2.473809,-1.4239515,9.540296,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790681,-2.4690206,-1.6651673,9.522937,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790783,-2.4271219,-1.70946,9.500791,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790788,-2.271499,-1.5999253,9.506777,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790884,-2.2469583,-1.5532384,9.523536,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790887,-2.3343468,-1.4209588,9.615712,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612790998,-2.3493104,-1.3479356,9.594165,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791002,-2.4073699,-1.359308,9.462483,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791093,-2.4432828,-1.5729905,9.420585,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791096,-2.4091654,-1.6190789,9.433155,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791204,-2.3600843,-1.8537107,9.5971575,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
1574612791208,-2.3475149,-1.8974048,9.609727,false,Start wait time,77F2D6E9-EEA1-439A-A2A4-579AB1D24CC9
