# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574613286425,3.4580152,2.0152671,0.16030534,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286433,3.4503818,1.6946565,-1.1221374,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286528,2.7862597,1.7328244,-0.8778626,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286634,3.6717558,3.1908398,1.4427481,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286638,0.84732825,4.4274807,3.1603053,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286746,-0.77099234,5.816794,3.870229,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286749,-1.0763359,5.9541984,3.3435113,true,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286844,-0.8167939,6.5419846,4.0,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613286847,-0.54198474,7.19084,5.335878,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287057,-0.41221374,7.3816795,6.3893127,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287163,-0.64122134,6.8320613,5.412214,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287167,-1.091603,4.7480917,1.778626,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287264,-3.5267177,2.9312978,-0.8015267,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287369,-4.068702,3.206107,-0.83206105,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287371,-4.847328,4.366412,-0.7633588,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287474,-4.3893127,6.0,4.7251906,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287477,-4.4961834,8.442748,5.068702,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287683,-3.0992367,7.076336,3.908397,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287685,-1.6183206,6.0610685,2.793893,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287793,3.129771,2.4122138,-2.4885497,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287796,4.038168,2.5419848,-2.3969467,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287799,6.152672,3.0152671,-1.2137405,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287801,6.0839696,3.038168,-0.4427481,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287803,5.3435116,3.1984732,-0.40458015,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287804,2.4732823,4.2290077,-1.1603054,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
1574613287807,0.9312977,4.6870227,-0.053435113,false,Start wait time,496394D6-33BE-42E3-83F5-0D300A8DB681
