# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574784596550,-57.282444,-16.885496,-11.473283,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596561,-68.15267,-20.015266,-12.519084,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596565,-80.36641,-24.603054,-13.145039,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596567,-88.92367,-26.022902,-14.358779,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596650,-96.56489,-27.793894,-16.389313,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596654,-99.778625,-30.259542,-17.610687,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596656,-100.061066,-32.519085,-18.89313,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596659,-96.091606,-31.23664,-18.51145,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596661,-89.23664,-26.312977,-17.221375,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596758,-81.770996,-23.977098,-15.984733,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596761,-64.9542,-20.335878,-12.679389,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596763,-52.671757,-16.87023,-10.351145,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596766,-38.931297,-13.053435,-7.8320613,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596767,-31.67939,-11.916031,-7.4580154,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596862,-20.503817,-9.709924,-8.244275,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596866,-13.557252,-7.847328,-7.8625956,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596868,-6.2366414,-4.9923663,-4.847328,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596869,-3.6564887,-2.8473282,-2.7251909,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596869,-2.053435,-0.7633588,0.06870229,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596972,-1.29771,-0.73282444,2.1526718,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596976,-0.66412216,0.28244275,4.4351144,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596978,-0.97709924,1.7480916,5.0610685,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596980,-2.183206,2.1374047,4.961832,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596983,-1.9007634,0.9312977,4.8778625,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784596985,-1.3435115,-0.41984734,4.0610685,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597072,-1.4732825,-0.610687,3.648855,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597076,-4.2519083,-0.47328246,3.2366412,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597078,-6.412214,-0.8244275,2.4885497,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597081,-7.3587785,-2.1908398,1.6564885,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597083,-7.5114503,-1.5419847,1.8396946,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597180,-8.748092,1.778626,2.6793892,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597395,-6.2442746,0.48091602,4.0229006,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597397,-4.519084,-1.610687,4.068702,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597398,-2.3587787,-4.19084,4.0076337,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597400,-1.0839695,-6.59542,3.1984732,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597401,0.8244275,-6.9847326,1.5496184,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597403,1.1526718,-5.4656487,0.9541985,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597405,1.167939,-5.6183205,1.4351145,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597406,0.90076333,-6.0458016,1.6412214,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597407,1.3816794,-4.778626,1.9923664,true,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597490,0.9847328,-2.9007633,2.740458,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597492,-2.1984732,-0.129771,3.4122138,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597493,-3.8473282,0.17557251,4.557252,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597494,-6.2824426,0.15267175,7.145038,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597495,-7.2519083,0.20610687,10.122137,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597496,-9.671756,-0.030534351,15.854961,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597498,-10.114504,0.86259544,16.343512,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597498,-7.633588,2.351145,9.862596,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597500,-6.7633586,1.5572519,-0.55725193,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597501,28.641222,-24.175573,-9.557252,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597596,39.625954,11.641221,-14.793893,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597599,35.732826,7.3587785,4.1221375,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597600,27.519083,11.503817,12.160305,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597602,23.931297,17.122137,8.679389,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597603,24.412214,14.954199,9.488549,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597701,28.503817,14.160305,12.473283,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597808,32.67939,20.51145,11.549619,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597812,31.473282,25.328245,7.70229,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597814,28.435114,23.305344,5.335878,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597817,25.526718,14.114504,4.664122,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597819,23.29771,7.9847326,4.2366414,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597821,20.961832,1.29771,1.6183206,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597822,20.793894,-1.870229,-0.47328246,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597824,22.801527,-5.7938933,-2.3816793,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784597825,24.145039,-7.5496182,-3.3969467,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598023,25.564886,-7.0152674,-3.6335878,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598026,25.70229,-5.2366414,-3.0,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598029,26.984734,-3.1526718,-0.10687023,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598031,28.351145,-2.648855,2.1068702,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598033,28.740458,-1.778626,3.480916,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598035,27.656488,0.053435113,1.8396946,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598036,26.70229,2.7328243,0.8015267,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
1574784598120,25.755726,4.0152674,0.27480915,false,Start wait time,820E1467-92BC-4A23-A8D5-47E3F4214F22
