# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574785201502,3.0229008,2.5267177,-1.5419847,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201506,3.3435113,3.2748091,-1.5954199,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201605,3.9847329,3.3664122,-1.167939,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201609,4.5038166,3.076336,-0.67175573,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201816,4.3511453,2.870229,-0.7557252,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201819,4.6030536,2.4580152,-0.84732825,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201925,4.6946564,2.442748,-0.7557252,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785201928,4.7938933,2.442748,-0.48091602,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202026,4.7099237,2.6183207,-0.47328246,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202135,4.7480917,2.6946564,-0.4427481,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202138,4.7862597,2.6183207,-0.38931298,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202356,4.664122,2.6717558,-0.3129771,true,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202359,4.5343513,2.8091602,-0.2977099,true,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202445,4.59542,2.7328243,-0.18320611,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202448,5.8396945,2.6259542,-0.35114503,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202656,3.816794,2.816794,-0.41221374,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202659,3.610687,2.9312978,-0.5038168,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202866,3.70229,2.7480917,-0.54198474,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202871,3.6259542,2.557252,-0.57251906,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202977,3.648855,2.480916,-0.5496183,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785202980,3.8244274,2.8091602,-0.33587787,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203076,4.5496182,2.8931298,0.022900764,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203079,4.7557254,3.076336,0.47328246,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203185,4.8015265,2.4961832,0.8854962,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203188,4.9847326,2.4122138,0.7251908,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203190,3.8549619,2.961832,-0.259542,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203192,3.5877862,2.9389312,-0.045801528,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203194,3.4732823,2.6183207,-0.34351146,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203196,3.351145,2.778626,-0.47328246,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203198,3.4961832,2.70229,-0.45801526,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203200,3.3969467,2.687023,-0.45038167,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203201,3.5877862,2.7175572,-0.35877863,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203396,3.557252,2.8396947,-0.39694658,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203399,4.19084,3.183206,0.16793893,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203402,4.557252,3.3969467,0.3740458,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203404,4.5648856,3.557252,0.48091602,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203406,4.3129773,3.6793892,0.55725193,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203408,4.2748094,3.5877862,0.4274809,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203409,4.10687,3.3282442,-0.06870229,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203411,3.7099237,3.1068702,-0.6335878,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203413,3.3664122,2.6717558,-0.6946565,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203415,3.1221373,2.6946564,-0.5801527,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203495,3.3664122,2.7099237,0.03816794,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203499,3.1755726,3.0229008,-0.27480915,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203501,3.351145,2.923664,-0.38931298,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203504,3.4961832,2.9160306,-0.6335878,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203506,3.3053436,3.053435,-0.519084,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203606,3.351145,3.1526718,-0.259542,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
1574785203610,3.572519,2.9847329,-0.33587787,false,Start wait time,3A3E6376-C3EB-4F58-B555-5388BA624512
