# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574790422003,3.8474822,-6.269217,6.6002154,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422012,3.9223008,-6.2901664,6.577471,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422180,3.9755719,-6.2967505,6.5762734,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422183,3.9893386,-6.3242836,6.622362,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422387,4.0174704,-6.3362546,6.633734,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422390,4.016872,-6.3464303,6.627749,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422601,3.9773676,-6.3248825,6.6002154,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790422605,3.9013517,-6.26802,6.5786676,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423226,3.8786068,-6.2686186,6.6067996,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423228,3.900753,-6.293758,6.625355,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423230,3.9282866,-6.2746043,6.59423,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423232,3.9426517,-6.303933,6.591836,true,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423444,4.003105,-6.2530565,6.5882444,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423447,4.0066967,-6.2500634,6.6067996,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423647,3.9438488,-6.1967926,6.6720414,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423651,3.9252937,-6.329072,6.7600284,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423867,3.7900212,-6.184223,6.8127007,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790423871,3.6661212,-6.091448,6.865972,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424067,3.964798,-6.3248825,6.651691,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424068,3.9390604,-6.2901664,6.5864487,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424277,3.8474822,-6.1022215,6.736685,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424279,3.8923733,-6.042965,6.7504516,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424280,4.1138372,-6.217742,6.904279,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424281,4.659715,-6.757634,6.733692,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424283,3.245939,-6.854001,6.7905545,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424284,3.4751837,-6.506243,6.9000893,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
1574790424285,3.7984009,-6.3847375,6.6840124,false,Start wait time,45E24DD2-ED28-4744-81F1-7F0A255D6B11
