# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574791039961,-3.9348705,4.7614684,7.6440873,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040060,-3.9965212,4.7656584,7.701548,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040064,-4.0456023,4.7896004,7.7488337,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040164,-4.068946,4.8500543,7.77517,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040168,-4.016872,4.845266,7.7452426,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040269,-3.9031472,4.793192,7.69257,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040272,-3.9091327,4.7907977,7.69257,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040488,-4.0282445,4.832696,7.707534,true,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040490,-4.087501,4.8997335,7.650073,true,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040690,-4.0557775,4.9200845,7.5968018,true,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040693,-4.031237,4.92607,7.60578,true,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040792,-4.0575733,4.924873,7.6363063,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040795,-4.096479,4.912902,7.6548615,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040910,-4.0623617,4.9458222,7.5974007,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791040914,-4.0880995,4.947618,7.6387005,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041110,-4.1018662,5.0038815,7.6009917,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041113,-4.12102,5.005079,7.6171527,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041212,-3.9977183,4.993108,7.597999,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041215,-4.0575733,5.031415,7.603985,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041326,-4.0342298,4.975151,7.6231384,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041329,-4.0156746,5.003283,7.60578,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041527,-4.092888,4.975151,7.5429325,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041536,-4.137779,4.9841294,7.563283,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041538,-4.0132804,4.976947,7.566276,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041538,-4.035427,5.0062757,7.5944076,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041539,-4.0557775,5.029021,7.6051817,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041540,-4.047398,5.0254292,7.6135616,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041541,-4.048595,5.023035,7.5692687,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
1574791041541,-4.061165,5.01705,7.5507135,false,Start wait time,A1A725EC-E9E9-43AC-8A04-4608E6AF995D
