# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574490565432,2.7175572,1.9770992,-0.28244275,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565440,3.038168,2.259542,-0.35877863,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565443,3.3587787,2.4580152,-0.40458015,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565445,3.4732823,2.534351,-0.4351145,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565447,3.6259542,2.610687,-0.41221374,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565448,3.7099237,2.6335878,-0.4351145,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565449,3.740458,2.6335878,-0.45801526,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565450,3.70229,2.664122,-0.45801526,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565451,3.664122,2.6030533,-0.4274809,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565537,3.5877862,2.557252,-0.45038167,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565538,3.5801528,2.572519,-0.45801526,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565540,3.5877862,2.5801528,-0.45038167,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565542,3.6259542,2.59542,-0.48854962,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565543,3.6564887,2.6030533,-0.5114504,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565642,3.6412213,2.6030533,-0.48091602,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565646,3.648855,2.664122,-0.45801526,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565648,3.6946564,2.7099237,-0.5114504,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565650,3.7328243,2.7633588,-0.648855,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565652,3.8625953,2.7862597,-0.77099234,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565654,4.0458016,2.793893,-0.86259544,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565750,4.1297708,2.7251909,-0.99236643,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565753,4.2290077,2.7328243,-1.2366412,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565756,4.335878,2.832061,-1.29771,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565758,4.328244,3.0229008,-1.480916,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
1574490565759,4.1984735,3.206107,-1.778626,false,Start wait time,E5652ACB-B7EC-472F-9EF5-029731D2C596
