# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574491196157,3.739743,-1.8746599,9.062652,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196166,3.7582982,-1.8920178,9.036316,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196258,3.7900212,-1.8884265,9.0237465,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196263,3.857059,-1.8788497,8.9842415,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196365,3.8893807,-1.9123687,8.9602995,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196474,3.9372647,-2.007538,8.970475,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196478,3.9773676,-2.0374656,8.978256,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196678,4.010886,-2.0919337,8.994417,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196685,4.004901,-2.1134815,9.017162,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196932,3.9953241,-2.1152773,9.036316,true,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196933,3.989937,-2.12246,9.026739,true,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196992,3.982156,-2.1416135,8.985439,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491196996,4.006098,-2.1110873,8.917803,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197104,4.010288,-2.1625626,8.896255,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197108,3.9827545,-2.1990743,8.940548,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197203,3.8666358,-2.160767,8.963293,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197308,4.064756,-2.2242134,9.04709,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197317,5.018845,-3.2082303,8.585608,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197413,3.2190042,-1.252766,9.36073,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197417,3.638588,-1.7782934,9.103952,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197522,3.8241386,-1.903989,9.061455,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197622,3.769072,-1.8992004,9.192537,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197626,3.7630866,-1.8914193,9.147646,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
1574491197734,3.9085343,-1.9925743,9.074024,false,Start wait time,14BF8F90-7AEE-4322-9B51-62557ADF8A43
