# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574793588373,-0.87807345,3.453636,9.372701,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588382,-0.91578215,3.4847605,9.395446,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588483,-0.89782566,3.539827,9.357738,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588488,-0.84335756,3.6122518,9.302073,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588583,-0.88405895,3.6218286,9.316438,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588587,-0.90021986,3.639785,9.299678,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588691,-0.8619126,3.6936548,9.221268,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588694,-0.8846575,3.6116533,9.257779,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588793,-0.9151836,3.5781345,9.306861,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588797,-0.83976626,3.6343982,9.25359,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793588998,-0.86251116,3.6535518,9.241618,true,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589001,-0.90859956,3.643975,9.258378,true,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589007,-0.7529764,3.8085763,9.24521,true,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589009,-0.61171854,3.894169,9.181764,true,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589113,-0.9792285,3.5230677,9.330204,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589116,-0.9888053,3.5326445,9.26556,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589322,-0.84934306,3.6349967,9.3026705,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589326,-0.6733692,3.7056258,9.226655,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589423,-0.74399817,3.8265328,9.316438,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589427,-0.79367787,3.7367504,9.409213,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589429,-1.1150994,3.4284968,9.326612,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589532,-1.0001777,3.4620156,9.320627,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589536,-0.45010993,3.5063083,9.316438,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589634,-0.5614403,3.5649664,9.326612,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589638,-0.83378077,3.5751417,9.354745,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589743,-0.8714894,3.5523968,9.3260145,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589746,-0.6739678,3.4919431,9.436148,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589954,-0.6596026,3.4374752,9.443929,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793589957,-0.866701,3.5942953,9.282919,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590054,-0.8726865,3.594894,9.256582,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590057,-0.87807345,3.5978866,9.260174,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590161,-0.84335756,3.5805287,9.279327,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590164,-0.7565677,3.6134489,9.308656,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590264,-0.75237787,3.4302924,9.406818,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590268,-0.81881696,3.4021606,9.393052,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590269,-0.8038532,3.5895069,9.320627,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590271,-0.82121116,3.5751417,9.336788,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590275,-0.8122329,3.603872,9.295488,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590277,-0.7906851,3.6302083,9.271546,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590278,-0.8331822,3.5984852,9.362526,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590280,-0.85532856,3.5452142,9.370307,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590281,-0.7757214,3.6134489,9.275137,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590283,-0.79607207,3.5769374,9.304466,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590371,-0.81043726,3.544017,9.34038,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590374,-0.80325466,3.5368345,9.340978,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590473,-0.80445176,3.526659,9.349358,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590477,-0.7966706,3.5272577,9.349358,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
1574793590587,-0.76195467,3.518878,9.335591,false,Start wait time,C2CC65F3-1594-4C4D-A925-754B57E0A0F1
