# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574795783313,2.8091602,1.9847329,-0.1908397,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783320,3.3587787,2.1755726,-0.49618322,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783415,3.6335878,2.4580152,-0.52671754,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783419,3.4961832,2.6946564,-0.36641222,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783523,3.4122138,2.8244274,-0.27480915,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783526,3.793893,2.8396947,-0.32061067,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783625,4.076336,2.7862597,-0.34351146,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783629,4.0839696,2.7251909,-0.3816794,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783735,4.0,2.4351146,-0.4427481,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795783739,3.7480917,2.3053436,-0.3053435,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784059,3.534351,2.534351,-0.20610687,true,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784060,3.5877862,2.7709923,-0.36641222,true,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784153,3.793893,2.7557251,-0.55725193,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784155,3.8931298,2.7251909,-0.5954198,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784158,3.816794,2.6793892,-0.5114504,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784159,3.6793892,2.59542,-0.6335878,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784161,3.9541984,3.1603053,-0.66412216,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784254,4.0076337,3.70229,-0.64122134,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784258,3.908397,2.1450381,-0.091603056,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784362,3.8854961,2.312977,-0.35877863,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784365,3.9160306,2.9694657,-0.39694658,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784368,3.870229,2.7557251,-0.35877863,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784370,3.6793892,2.8473282,-0.9389313,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784371,3.6030533,2.8778627,-0.83206105,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784373,3.7175572,2.648855,-0.6183206,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784374,3.8549619,2.480916,-0.45801526,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784376,3.7099237,2.7480917,-0.23664123,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784378,3.4961832,2.9389312,-0.2977099,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784379,3.335878,2.9007633,-0.66412216,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784464,3.2671757,2.259542,-0.7251908,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784467,3.5114503,2.167939,-0.96183205,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784574,3.664122,2.40458,-1.0229008,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784578,3.5801528,2.8396947,-0.9847328,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784785,3.4885497,3.0152671,-0.8015267,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784788,3.557252,3.183206,-0.48091602,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784885,3.8854961,3.1526718,-0.46564886,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784888,4.3587785,2.7557251,-0.519084,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784990,4.221374,2.6717558,-0.38931298,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795784998,3.648855,2.480916,-0.17557251,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785095,3.3587787,2.3740458,-0.259542,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785099,3.465649,2.206107,-0.6870229,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785101,3.6335878,2.1374047,-1.0458015,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785103,3.6946564,2.0992367,-1.2748091,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785103,3.923664,1.9160305,-0.67175573,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785103,3.7557251,1.7633588,-0.7557252,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785104,4.114504,1.9312977,-1.8931298,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785104,4.0152674,1.8167939,0.29007635,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785105,3.870229,1.8931298,-0.6870229,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785105,3.5801528,2.038168,-0.6870229,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785206,3.9694657,2.6412213,-0.66412216,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785209,3.6717558,2.6030533,-0.67175573,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785211,3.5419848,2.534351,-0.6946565,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785212,3.8549619,2.3435113,-1.0458015,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785214,4.1221375,2.1145039,-1.0839695,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785305,3.9160306,2.2366412,-0.66412216,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785309,3.519084,2.6030533,-0.35877863,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785311,3.29771,2.8396947,-0.70229006,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785314,3.351145,2.8625953,-1.221374,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785316,3.572519,2.70229,-1.3740458,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785413,3.6412213,2.5267177,-1.1450381,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785416,3.5114503,2.40458,-0.8854962,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785514,3.6259542,2.3435113,-0.83206105,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785517,3.908397,2.4198472,-0.89312977,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785520,3.923664,2.6412213,-0.8778626,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785522,3.8854961,2.687023,-0.9236641,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785524,3.9312978,2.832061,-0.8244275,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785526,3.8854961,3.1221373,-0.648855,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785527,3.8015268,3.29771,-0.60305345,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785529,3.664122,3.091603,-0.648855,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785531,3.610687,2.923664,-0.4427481,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785624,3.5801528,2.816794,-0.40458015,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785628,3.610687,2.70229,-0.5114504,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785631,3.4885497,2.6183207,-0.610687,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785633,3.3435113,2.572519,-0.648855,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
1574795785635,3.2366412,2.5877862,-0.6259542,false,Start wait time,7946510A-BDD4-406A-A622-620BBD1D4F4F
