# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574796321614,1.9847329,1.2290076,-0.06870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322136,2.1755726,1.4503816,0.091603056,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322142,2.3206108,1.70229,0.3740458,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322446,2.389313,1.870229,0.5038168,true,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322447,2.2671757,1.9465649,0.48854962,true,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322555,2.1221373,2.0992367,0.49618322,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322558,2.0076337,2.312977,0.648855,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322765,1.832061,2.70229,0.84732825,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796322768,1.8091604,2.6793892,1.0687023,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323298,1.7099236,2.480916,1.2137405,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323302,1.6793894,2.29771,1.1450381,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323395,3.5877862,2.0229008,0.1908397,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323398,3.4961832,1.9465649,0.122137405,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323605,3.3740458,1.519084,0.06870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323607,3.2366412,1.3129771,-0.06870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323608,2.9694657,1.3358779,0.6183206,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323610,2.7862597,1.4198474,0.7480916,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323611,3.6183207,1.648855,-0.46564886,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323615,3.59542,1.6946565,-0.33587787,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323617,4.4503818,1.5343511,0.5648855,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323619,4.6793895,1.4961832,0.5038168,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323621,4.2900763,1.5725191,0.38931298,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323623,3.9312978,1.4885496,0.099236645,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323817,4.0610685,1.7938931,1.8167939,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323821,3.7175572,1.5496184,0.9541985,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323823,3.7480917,1.221374,-0.14503817,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796323826,3.8625953,1.1068702,-1.167939,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324027,3.7557251,1.3969465,-1.3129771,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324031,3.335878,1.5267175,-1.2748091,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324033,3.1755726,1.6030535,-0.6870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324035,3.4580152,1.7251909,-0.122137405,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324037,3.9541984,1.870229,0.19847329,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324040,4.114504,1.8625954,0.20610687,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324042,3.908397,1.7480916,0.2977099,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324043,3.740458,1.648855,0.45038167,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324045,3.687023,1.519084,0.26717559,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324047,3.6793892,1.4885496,0.030534351,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324236,2.7099237,1.6717557,-1.1984733,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324241,2.793893,1.5572519,-1.2061069,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324243,2.923664,1.4885496,-1.0839695,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324245,3.167939,1.6335878,-0.8854962,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324447,3.1755726,1.7862595,-0.6793893,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324656,3.0152671,1.8244275,-0.5648855,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324659,2.870229,1.7175573,-0.35877863,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324661,3.0,1.6412214,-0.14503817,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324663,3.167939,1.5648855,-0.21374045,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324664,3.1068702,1.480916,-0.52671754,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324665,3.0,1.5572519,-0.79389316,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324665,2.9160306,1.5114504,-0.96183205,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324666,2.793893,1.3740458,-1.038168,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324667,2.6183207,1.3053435,-1.0610687,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324668,3.091603,1.5572519,-0.45038167,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324669,3.1374047,1.4885496,-0.6870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324866,3.7862597,1.7709924,0.6946565,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324870,3.740458,1.7480916,0.7251908,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324873,3.664122,1.740458,0.6183206,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324875,3.664122,1.7251909,0.5801527,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324876,3.6793892,1.9465649,0.6870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324878,3.6335878,2.0,0.6870229,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324879,3.6259542,1.8015267,0.65648854,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324881,3.6412213,1.7099236,0.7480916,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324883,3.3816793,1.8625954,0.77099234,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796324884,3.167939,1.7862595,0.8091603,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325080,2.9770992,1.6412214,0.96183205,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325286,2.923664,1.7633588,1.4274809,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325290,2.9923663,1.8473282,1.29771,false,Start wait time,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325497,3.183206,1.5725191,0.58778626,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325502,2.9847329,1.4580153,-0.045801528,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325705,2.9389312,1.5954199,-0.35114503,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325707,2.9389312,1.7251909,-0.49618322,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325916,3.6946564,1.2061069,-0.5038168,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325925,3.8473282,1.1755725,-0.26717559,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325927,3.2519083,2.648855,0.099236645,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325930,4.6488547,4.6488547,-2.8473282,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325933,-6.7862597,-0.41221374,4.0305343,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325937,-5.7099237,-0.70229006,-1.8167939,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325940,1.519084,3.0687022,1.221374,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
1574796325943,0.5954198,2.534351,1.3969465,false,Normal respiration,5CE58165-CE66-4FAE-9EAB-997C388F3AA5
