# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574968617729,-9.34397,0.21068975,2.4552538,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617737,-9.348759,0.21428105,2.4971523,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617837,-9.364322,0.24361002,2.480393,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617841,-9.358934,0.27353755,2.4540567,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617939,-9.367314,0.28491,2.4528596,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617942,-9.384073,0.29149407,2.4504654,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618046,-9.409213,0.2801216,2.469619,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618050,-9.424775,0.29029694,2.4774003,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618149,-9.411607,0.29568392,2.4797945,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618153,-9.375095,0.28670564,2.4756045,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618258,-9.321226,0.20171149,2.4061728,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618262,-9.415796,0.29388827,2.44448,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618359,-9.414599,0.3417723,2.4372973,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618638,-9.394848,0.33638534,2.4169466,true,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618640,-9.408614,0.3453636,2.4247277,true,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618676,-9.411607,0.2885013,2.4708161,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618678,-9.3733,0.29747957,2.44448,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
