# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574968617729,2.183206,1.6183206,-0.65648854,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617737,2.793893,2.3053436,-0.740458,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617837,3.7633588,2.8625953,-0.7099237,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617841,4.183206,3.3816793,-0.36641222,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617939,4.480916,3.6946564,-0.15267175,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968617942,4.480916,3.8015268,-0.045801528,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618046,4.3206105,3.6030533,-0.21374045,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618050,4.374046,3.442748,-0.55725193,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618149,4.3893127,3.2824428,-0.6335878,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618153,4.3053436,2.961832,-0.6183206,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618258,4.2137403,2.5038168,-0.26717559,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618262,4.366412,3.3053436,-0.77099234,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618359,2.557252,3.389313,0.5496183,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618638,2.4503818,2.5877862,0.28244275,true,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618640,3.4198472,1.4427481,-1.5725191,true,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618676,2.8244274,1.1984733,-1.832061,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618678,3.0458016,2.7709923,0.740458,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618780,3.0076337,2.4961832,0.7557252,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618784,3.351145,2.3740458,-1.2366412,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618892,2.6412213,1.8778626,-1.2824427,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968618895,3.8625953,1.8625954,-0.39694658,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619098,3.8625953,1.6335878,-0.45801526,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619102,3.4732823,2.0992367,-0.52671754,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619200,3.221374,2.0610688,-0.48854962,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619306,3.4122138,2.4732823,-0.5801527,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619309,3.4122138,1.6870229,-0.24427481,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619409,3.5877862,1.8167939,-0.34351146,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619412,3.1145039,2.259542,-0.32061067,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619520,3.1755726,2.3664122,-0.36641222,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619523,2.9312978,2.5496182,-0.648855,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619728,2.9694657,2.534351,-0.9465649,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619732,3.4580152,2.572519,-0.8167939,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619733,3.1374047,2.2900763,-0.79389316,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619734,3.312977,2.1603053,-0.6259542,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619736,3.167939,1.9847329,-0.66412216,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619738,3.0458016,1.9694656,-0.8396947,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619739,3.2671757,2.3740458,-0.6259542,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619741,3.3435113,2.40458,-0.5801527,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619743,3.2366412,2.2824428,-0.610687,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619745,3.2824428,2.1068702,-0.55725193,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619829,3.0458016,2.4961832,-0.47328246,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619831,3.0,2.5038168,-0.52671754,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619833,2.9312978,2.534351,-0.60305345,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619835,2.9389312,2.5419848,-0.6259542,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619836,2.9847329,2.5038168,-0.5496183,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619939,3.0610688,2.4732823,-0.5114504,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619942,3.2290077,2.4503818,-0.3740458,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619945,3.2290077,2.3740458,-0.099236645,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619948,3.2519083,2.3053436,0.16793893,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968619949,3.389313,2.221374,0.6183206,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620039,3.442748,2.221374,0.870229,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620042,3.4580152,2.4732823,0.8778626,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620044,3.4580152,2.6946564,0.6946565,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620046,3.3816793,2.8778627,0.46564886,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620048,3.1221373,2.8549619,0.22137405,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620050,2.7709923,2.4198472,-0.2977099,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620148,2.8931298,2.0992367,-0.66412216,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620152,3.1526718,2.2442749,-0.54198474,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620154,3.1374047,2.9312978,-0.22900763,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620157,3.0992367,3.0992367,0.053435113,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620159,3.0076337,3.0,0.29007635,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620250,3.053435,2.9694657,0.28244275,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620253,3.1908398,2.9541984,0.061068702,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620256,3.2748091,2.9389312,-0.20610687,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620258,3.2824428,2.8625953,-0.6183206,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620260,3.129771,2.7480917,-0.78625953,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620356,3.053435,2.519084,-0.86259544,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620359,3.1450381,2.4351146,-0.77099234,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620362,3.4198472,2.4732823,-0.38931298,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620364,3.442748,2.59542,-0.16030534,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620366,3.312977,2.3969467,-0.16030534,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620459,3.389313,2.1450381,-0.22900763,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620463,3.465649,1.9465649,-0.16793893,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620571,3.4503818,1.9694656,-0.14503817,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620574,3.442748,1.9236641,-0.14503817,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620577,3.465649,1.8854961,-0.06870229,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620579,3.59542,1.9694656,0.08396947,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620581,3.6946564,2.0687022,0.129771,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620583,3.7862597,2.2748091,0.08396947,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620584,3.8778627,2.427481,0.053435113,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620586,3.8473282,2.534351,-0.045801528,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620587,3.6717558,2.7251909,-0.24427481,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620668,3.519084,2.870229,-0.46564886,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620672,3.3587787,2.9312978,-0.67175573,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620675,3.2519083,2.9007633,-0.740458,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620677,3.2137403,2.6717558,-0.5954198,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620679,3.2671757,2.4885497,-0.48091602,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620778,3.4961832,2.3587787,-0.35114503,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620782,3.6335878,2.2748091,-0.24427481,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620784,3.6335878,1.9541985,-0.007633588,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620786,3.648855,1.8549619,0.14503817,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620788,3.5267177,1.7480916,0.16793893,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620879,3.4503818,1.7175573,0.099236645,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620882,3.3053436,1.70229,-0.10687023,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620885,3.2366412,1.740458,-0.20610687,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620887,3.206107,1.832061,-0.15267175,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620890,3.2366412,2.0152671,-0.19847329,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620986,3.1908398,2.053435,-0.27480915,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620989,2.9923663,2.167939,-0.3816794,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
1574968620991,2.9160306,2.183206,-0.5114504,false,Start wait time,581C6003-D86E-4335-B966-1757F11897A4
