# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574969219918,2.107496,-2.0290859,9.567828,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969219933,2.1410148,-2.011728,9.566631,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220132,2.1505916,-2.0081367,9.540894,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220136,2.1057005,-2.0189106,9.560047,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220234,2.0709844,-2.042254,9.61272,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220237,2.0332758,-2.0841527,9.719262,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220343,2.0763714,-2.1338322,9.755774,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220347,2.2266076,-2.0829554,9.546281,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220443,2.2188265,-1.9895816,9.425373,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220549,2.0614076,-1.9925743,9.417592,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220553,2.0296845,-2.2188265,9.379884,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220652,2.1984756,-2.5300727,9.560047,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220656,2.2373815,-1.9686323,9.476251,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220768,2.285864,-2.0165164,9.490616,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220772,2.1823149,-2.1853075,9.539697,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220905,2.1775265,-2.2649148,9.552266,true,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
