# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574969219918,2.038168,1.1832061,-0.66412216,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969219933,2.4885497,1.129771,-0.60305345,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220132,2.610687,1.1526718,-0.36641222,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220136,2.4732823,1.5496184,-1.9541985,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220234,2.7862597,1.6793894,0.091603056,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220237,3.2824428,0.6259542,-0.091603056,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220343,3.2442749,-0.97709924,-0.77862597,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220347,2.8778627,-2.9923663,-3.0,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220443,2.0,-2.2290077,-4.038168,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220549,1.8015267,0.45801526,-2.572519,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220553,0.6183206,1.7328244,-0.6793893,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220652,1.4274809,1.5496184,-1.9312977,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220656,0.90839696,1.0229008,1.7557251,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220768,0.8015267,0.9465649,1.2442749,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220772,1.8931298,3.0839694,4.0458016,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220905,2.3740458,2.961832,1.961832,true,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969220906,3.4885497,2.5038168,-1.7480916,true,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221073,3.1908398,2.3740458,-2.0687022,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221077,3.1374047,1.6641221,0.030534351,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221180,1.9236641,0.97709924,0.5038168,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221183,1.0763359,2.870229,1.2519084,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221392,2.5038168,2.29771,-0.4427481,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221396,2.3053436,1.9694656,0.13740458,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221493,1.0458015,1.129771,-0.17557251,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221496,1.8396946,1.8854961,-1.2900764,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221601,4.4503818,2.0076337,-1.9465649,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221604,4.3435116,1.8473282,-2.2671757,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221703,4.7251906,2.6793892,-2.0,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221811,5.3053436,2.687023,-2.0839694,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221814,2.9541984,2.648855,-0.259542,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221913,2.1603053,2.4122138,0.14503817,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221916,3.6183207,3.29771,-1.7557251,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221918,4.335878,3.29771,-2.1526718,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221920,3.8931298,1.3664122,-1.5343511,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221922,2.908397,0.519084,1.8931298,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
1574969221924,-1.259542,-0.519084,-0.32061067,false,Start wait time,5F147357-6506-42D1-A9FB-D148AAAF8BE9
