# name,acc
# unit,m/s^2
# id,3
time,accX,accY,accZ,lightOn,task,measurementID 
1574969772162,1.7399861,-9.696517,0.91338795,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772171,1.7238252,-9.636662,0.84814596,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772265,1.6262615,-9.55047,0.91099375,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772367,1.8800468,-9.829395,0.8158242,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772372,1.9422961,-9.955689,0.8230068,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772475,1.8357542,-9.327211,0.83018947,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772577,1.5873557,-9.136273,0.95588505,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772582,1.5065514,-9.205107,1.0079589,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772685,1.6514006,-9.387665,0.88765025,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772786,1.7381904,-9.682152,0.80564886,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772790,1.7166426,-9.792285,0.80325466,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772939,1.6932992,-9.85633,0.84694886,true,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772996,1.7088615,-9.856929,0.9091981,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772999,1.8579005,-9.563639,0.87328506,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773105,1.8848352,-9.294291,0.76554596,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773207,1.7663223,-9.59177,0.878672,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773210,1.8381484,-9.509171,0.9187749,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773416,1.8136078,-9.391854,0.8822633,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773419,1.7998412,-9.7007065,0.8595184,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773521,1.785476,-9.467272,0.9708488,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773626,1.8088194,-9.499594,0.961272,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773630,1.8908207,-9.578603,0.7541735,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773734,1.7770962,-9.541492,0.9175778,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
