# name,gyro
# unit,m/s^2
# id,2
time,gyroX,gyroY,gyroZ,lightOn,task,measurementID 
1574969772162,2.2137403,1.4580153,-1.6259542,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772171,2.4122138,1.5648855,-2.7251909,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772265,2.4122138,1.8244275,-3.3969467,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772367,3.4122138,0.16793893,-3.3587787,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772372,1.7862595,-0.129771,-5.412214,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772475,2.0229008,-0.519084,-8.129771,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772577,2.259542,-0.22900763,-6.5496182,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772582,4.2061067,-0.70229006,-0.58778626,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772685,5.480916,-0.73282444,2.8625953,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772786,5.0992365,0.6870229,4.3053436,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772790,4.1374044,1.389313,3.312977,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772939,2.740458,1.9923664,0.54198474,true,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772996,2.038168,2.167939,-1.8396946,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969772999,2.3282442,1.2671756,-7.2748094,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773105,3.1145039,0.9312977,-6.7709923,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773207,3.9541984,2.4503818,0.061068702,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773210,3.3969467,2.2290077,-1.7099236,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
1574969773416,3.2137403,1.70229,-1.167939,false,Start wait time,71E0D6D5-3933-4B04-B36F-E1C68042F80D
